,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,low,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
18,美しい,33,示す,249,企業,454,だから,31,,,18,長い,23,受ける,140,国会,293,しかしながら,16
19,少ない,31,働く,243,検討,417,または,31,,,19,少ない,19,いう,132,政策,289,又は,16
20,深い,29,おく,242,判断,410,でも,25,,,20,若い,18,基づく,132,答弁,261,だから,15
21,若い,28,目指す,229,考え方,409,しかも,23,,,21,良い,18,求める,121,結果,254,では,15
22,おかしい,27,基づく,223,実現,408,ちなみに,15,,,22,望ましい,17,おく,117,方々,250,しかも,13
23,安い,27,出る,212,事実,407,では,15,,,23,にくい,16,出す,116,事実,246,それで,12
24,ふさわしい,24,いける,209,世界,399,それで,14,,,24,やむを得ない,16,出る,114,課題,238,でも,10
25,短い,22,出す,204,皆さん,381,又は,14,,,25,安い,16,述べる,108,支援,238,または,10
26,にくい,22,おっしゃる,192,私たち,380,ただし,11,,,26,深い,16,変わる,103,説明,235,それでも,10
27,重い,21,行く,190,課題,379,それでも,11,,,27,重い,15,働く,99,認識,235,ただし,8
28,悪い,20,求める,185,米国,372,ましてや,10,,,28,ほしい,13,入る,98,対策,229,ちなみに,6
29,弱い,19,当たる,177,地方,367,しかしながら,10,,,29,きめ細かい,12,上がる,98,問題,219,じゃ,5
30,揺るぎない,18,変わる,177,改革,339,じゃ,9,,,30,詳しい,11,認める,97,判断,217,さて,4
31,すばらしい,17,上げる,175,考え,333,よって,8,,,31,注意深い,10,おっしゃる,96,ルール,217,こうして,4
32,近い,16,果たす,173,大臣,330,それでは,8,,,32,温かい,9,当たる,95,改革,208,よって,4
33,粘り強い,15,とる,172,対策,327,次に,8,,,33,おいしい,9,上げる,94,現在,196,それでは,4
34,きめ細かい,15,上がる,169,説明,316,だって,6,,,34,よろしい,9,つながる,94,自由,192,ゆえに,2
35,詳しい,12,進む,164,実施,312,ゆえに,5,,,35,言うまでもない,9,含む,94,私たち,192,それに,2
36,小さい,12,変える,161,活動,308,こうして,4,,,36,おかしい,8,あり,93,承知,189,だからといって,2
37,望ましい,12,あり,158,安定,307,だからといって,4,,,37,すばらしい,8,いける,91,皆さん,189,ところが,1
38,おいしい,11,かかわる,155,全て,306,ところが,3,,,38,弱い,8,果たす,91,平和,188,それから,1
39,やむを得ない,11,つながる,153,平和,302,並びに,3,,,39,短い,8,行く,90,地方,185,それとも,1
40,明るい,11,述べる,153,強化,300,さて,2,,,40,悪い,7,応じる,87,考え方,183,ですから,1
41,うまい,10,認める,149,結果,299,ですから,2,,,41,危うい,6,至る,85,企業,183,次いで,1
42,貧しい,9,わかる,144,理解,296,それと,2,,,42,幼い,6,取る,83,成長,182,次に,1
43,難い,9,決める,144,整備,294,それから,2,,,43,固い,6,決める,83,全て,179,そうしたら,1
44,とうとい,8,起こる,144,岩場,292,それに,2,,,44,近い,5,しまう,82,考え,178,,
45,すごい,8,聞く,140,発言,291,そうして,1,,,45,揺るぎない,5,立つ,81,環境,178,,
46,痛ましい,8,ござる,138,大切,287,そうしたら,1,,,46,尊い,5,ござる,80,協定,174,,
47,著しい,8,続ける,137,現在,286,どころか,1,,,47,明るい,5,続ける,79,自衛隊,173,,
48,がたい,7,生かす,136,環境,285,そうすると,1,,,48,親しい,5,進む,79,観点,172,,
49,激しい,7,超える,135,改善,284,それどころか,1,,,49,乏しい,4,いただける,75,法案,170,,
50,尊い,7,違う,134,責任,284,それだけに,1,,,50,ひどい,4,超える,73,措置,170,,
51,うれしい,7,しまう,129,努力,276,でなければ,1,,,51,厚い,4,とる,73,大臣,169,,
52,かたい,7,立つ,127,自衛隊,275,次いで,1,,,52,細かい,4,させる,73,発言,169,,
53,数多い,7,入る,125,認識,269,それなら,1,,,53,とうとい,4,かかわる,73,強化,169,,
54,言うまでもない,6,なす,124,成長,268,というのも,1,,,54,うまい,4,なす,70,負担,167,,
55,危うい,5,させる,121,平成,267,,,,,55,甘い,4,聞く,69,北朝鮮,163,,
56,目覚ましい,5,もらう,120,国会,266,,,,,56,著しい,4,引き続く,68,理解,162,,
57,速い,5,与える,118,観点,265,,,,,57,手厚い,4,生かす,67,安定,161,,
58,古い,5,応じる,113,安全,262,,,,,58,ありがたい,4,変える,67,適切,158,,
59,つらい,5,続く,111,要件,262,,,,,59,いち早い,4,講じる,67,十分,156,,
60,乏しい,5,呼ぶ,108,議員,261,,,,,60,薄い,3,始める,64,大変,155,,
61,温かい,5,しれる,105,大変,258,,,,,61,難い,3,入れる,63,年度,149,,
62,暗い,5,含む,104,賃金,258,,,,,62,毛頭ない,3,起こる,62,拡大,147,,
63,親しい,5,引き上げる,103,社会保障,258,,,,,63,痛ましい,3,作る,60,実施,147,,
64,手厚い,5,加える,102,年度,253,,,,,64,痛い,3,使う,60,整備,146,,
65,うるさい,4,努める,101,女性,249,,,,,65,遅い,3,努める,59,可能,144,,
66,恥ずかしい,4,いただける,100,消費税,247,,,,,66,貧しい,3,挙げる,57,女性,143,,
67,遠い,4,重ねる,100,昨年,243,,,,,67,狭い,2,やめる,55,責任,140,,
68,苦しい,4,使う,99,負担,242,,,,,68,軽い,2,違う,54,連携,139,,
69,優しい,4,ふえる,97,承知,241,,,,,69,がたい,2,支える,54,推進,138,,
70,ひどい,4,講じる,96,社会,240,,,,,70,かわいらしい,2,開く,52,要件,137,,
71,余儀ない,3,挙げる,91,デフレ,236,,,,,71,激しい,2,増す,52,社会,137,,
72,きつい,3,尽くす,91,意味,235,,,,,72,悲しい,2,尽くす,51,議員,136,,
73,痛い,3,引き続く,89,推進,234,,,,,73,恥ずかしい,2,限る,51,安全保障,134,,
74,麗しい,3,書く,88,復興,230,,,,,74,小さい,2,つなげる,51,改善,134,,
75,暖かい,3,入れる,88,海外,230,,,,,75,すごい,2,与える,51,活動,134,,
76,厚い,3,来る,86,予算,229,,,,,76,汚い,2,増える,50,中国,134,,
77,固い,3,深める,86,協力,229,,,,,77,遠い,2,下がる,50,質問,130,,
78,狭い,3,高める,83,交渉,228,,,,,78,忙しい,2,続く,49,安全,129,,
79,怪しい,3,至る,82,目標,228,,,,,79,目覚ましい,1,加える,48,協力,129,,
80,底堅い,3,合わせる,82,行使,227,,,,,80,余儀ない,1,高める,48,行使,129,,
81,重たい,3,始める,81,立場,225,,,,,81,逞しい,1,もらう,47,皆様,129,,
82,申し訳ない,3,比べる,81,雇用,221,,,,,82,やさしい,1,伴う,47,いずれ,127,,
83,細かい,3,増える,80,全体,221,,,,,83,たくましい,1,重ねる,47,全体,127,,
84,悲しい,3,取る,78,基本的,219,,,,,84,優しい,1,知る,47,平成,126,,
85,しつこい,3,定める,75,プラス,219,,,,,85,ばかばかしい,1,取りまとめる,44,賃金,125,,
86,ほしい,2,答える,74,憲法,219,,,,,86,数少ない,1,頑張る,44,お答え,125,,
87,軽い,2,限る,73,いずれ,218,,,,,87,申し訳ない,1,脅かす,43,生活,124,,
88,いち早い,2,許す,72,基本,214,,,,,88,みずみずしい,1,置く,43,次第,123,,
89,懐かしい,2,向かう,72,法案,214,,,,,89,怖い,1,答える,42,事態,122,,
90,誇らしい,2,資する,72,取り組み,211,,,,,90,暗い,1,しれる,42,参加,121,,
91,ありがたい,2,生じる,68,影響,211,,,,,91,若々しい,1,伺う,42,意味,118,,
92,づらい,2,置く,68,お答え,205,,,,,92,憎たらしい,1,とどまる,42,全力,118,,
93,汚い,2,伴う,67,皆様,203,,,,,93,間近い,1,差し控える,41,大切,117,,
94,鈍い,2,下がる,65,目的,203,,,,,94,速い,1,広がる,41,昨年,117,,
95,喜ばしい,2,通じる,65,活用,203,,,,,95,底堅い,1,定める,41,国内,117,,
96,情けない,2,やめる,65,質問,203,,,,,96,うれしい,1,担う,41,自由貿易,117,,
97,遅い,2,支える,64,年間,201,,,,,97,緩い,1,見直す,40,憲法,117,,
98,おどろおどろしい,2,取りまとめる,64,十分,201,,,,,98,濃い,1,ふえる,40,雇用,116,,
99,忙しい,2,くださる,63,適切,194,,,,,99,はかばかしい,1,取り巻く,40,努力,116,,
100,緩い,2,応える,63,生活,193,,,,,100,太い,1,満たす,40,国際社会,115,,
101,賢い,1,かかる,62,連携,193,,,,,101,はかない,1,のっとる,40,意見,114,,
102,うい,1,開く,62,明確,193,,,,,102,づらい,1,関わる,39,取組,113,,
103,ばかばかしい,1,上回る,61,措置,190,,,,,103,意義深い,1,沿う,39,海外,112,,
104,根強い,1,頑張る,61,事態,190,,,,,104,喜ばしい,1,経る,39,役割,111,,
105,かわいい,1,感じる,61,ふう,190,,,,,105,つつがない,1,分かる,38,基本,111,,
106,青い,1,見込む,59,安全保障,189,,,,,106,,,設ける,38,年金,111,,
107,騒がしい,1,決まる,58,国際社会,187,,,,,107,,,及ぶ,37,再生,111,,
108,頼もしい,1,のっとる,58,発生,186,,,,,108,,,期す,37,与党,110,,
109,きやすい,1,差し控える,57,可能,183,,,,,109,,,もつ,36,目標,109,,
110,見にくい,1,言える,57,安倍政権,182,,,,,110,,,つくり出す,36,具体,108,,
111,そぐわない,1,見直す,56,分野,179,,,,,111,,,促す,36,立場,108,,
112,寂しい,1,期す,55,年金,177,,,,,112,,,通じる,36,発生,108,,
113,ひとしい,1,掲げる,55,段階,177,,,,,113,,,訴える,35,維持,107,,
114,ゆゆしい,1,伺う,54,機能,176,,,,,114,,,応える,34,分野,106,,
115,はかばかしい,1,つくり出す,53,充実,175,,,,,115,,,書く,34,中小企業,105,,
116,白い,1,とどまる,53,北朝鮮,175,,,,,116,,,生み出す,34,社会保障,105,,
117,冷たい,1,繰り返す,52,投資,175,,,,,117,,,合わせる,34,復興,105,,
118,有り難い,1,もつ,52,全力,173,,,,,118,,,合う,33,国々,103,,
119,たやすい,1,住む,52,農業,173,,,,,119,,,わかる,33,農業,102,,
120,かゆい,1,増す,52,時代,173,,,,,120,,,係る,33,年間,102,,
121,鋭い,1,切り開く,52,お話,171,,,,,121,,,深める,32,予算,101,,
122,輝かしい,1,分かる,50,所得,170,,,,,122,,,繰り返す,32,審議,101,,
123,うとい,1,係る,50,与党,166,,,,,123,,,生じる,32,委員会,101,,
124,浅い,1,つなげる,50,拡大,165,,,,,124,,,許す,31,見直し,100,,
125,っぽい,1,沿う,49,派遣,164,,,,,125,,,受けとめる,31,基本的,99,,
126,軟らかい,1,担う,49,見直し,164,,,,,126,,,比べる,31,影響,98,,
127,幼い,1,減る,49,調査,163,,,,,127,,,覆す,30,能力,98,,
128,甘い,1,生まれる,49,医療,163,,,,,128,,,減る,30,安倍内閣,96,,
129,なるい,1,作る,48,仕事,161,,,,,129,,,言える,30,導入,96,,
130,やましい,1,負う,47,介護,160,,,,,130,,,もたらす,30,体制,96,,
131,等しい,1,つける,46,能力,160,,,,,131,,,受け止める,29,早期,95,,
132,ほど遠い,1,伸びる,46,物価,159,,,,,132,,,資する,29,活用,94,,
133,くだらない,1,広げる,46,決意,157,,,,,133,,,呼ぶ,29,お話,93,,
134,黄色い,1,満たす,45,自由,153,,,,,134,,,生まれる,29,着実,92,,
135,やわらかい,1,失う,45,合意,152,,,,,135,,,あわせる,29,利益,92,,
136,好ましい,1,促す,45,水準,152,,,,,136,,,守り抜く,29,将来,92,,
137,物すごい,1,異なる,44,維持,152,,,,,137,,,広げる,28,集団的自衛権,92,,
138,,,迎える,43,役割,151,,,,,138,,,引き上げる,28,共有,92,,
139,,,持てる,43,効果,151,,,,,139,,,盛り込む,28,段階,91,,
140,,,防ぐ,43,運用,150,,,,,140,,,異なる,28,規制,91,,
141,,,知る,42,集団的自衛権,150,,,,,141,,,待つ,27,調査,90,,
142,,,合う,42,将来,149,,,,,142,,,防ぐ,27,閣議決定,90,,
143,,,ふやす,42,仕組み,146,,,,,143,,,来る,27,投資,90,,
144,,,有する,41,中小企業,146,,,,,144,,,整える,26,構築,89,,
145,,,設ける,40,取組,146,,,,,145,,,決まる,26,期待,89,,
146,,,受け入れる,39,向上,146,,,,,146,,,なくなる,26,可能性,89,,
147,,,くれる,39,税収,145,,,,,147,,,くれる,26,協議,89,,
148,,,脅かす,38,政権,144,,,,,148,,,掲げる,26,目的,89,,
149,,,控える,37,武力行使,143,,,,,149,,,控える,25,デフレ,89,,
150,,,あわせる,37,ルール,143,,,,,150,,,くださる,25,締結,88,,
151,,,戻る,37,貢献,142,,,,,151,,,失う,25,会談,88,,
152,,,取り巻く,37,改正,142,,,,,152,,,かなう,25,残念,88,,
153,,,終わる,37,体制,141,,,,,153,,,高まる,24,提出,87,,
154,,,輝く,37,財政,141,,,,,154,,,表す,24,武力攻撃,87,,
155,,,除く,36,解決,140,,,,,155,,,働きかける,24,外交,87,,
156,,,選ぶ,36,脱却,139,,,,,156,,,終わる,24,水準,86,,
157,,,表す,36,先般,139,,,,,157,,,伝える,24,所得,86,,
158,,,みる,35,給付,138,,,,,158,,,見込む,23,効果,85,,
159,,,引き渡す,35,そのため,138,,,,,159,,,なくす,23,輸出,84,,
160,,,見据える,35,事業,137,,,,,160,,,乗り越える,23,日米同盟,84,,
161,,,かける,35,リスク,137,,,,,161,,,会う,23,機能,83,,
162,,,転じる,34,参加,137,,,,,162,,,迎える,22,総合,83,,
163,,,経る,34,出端,136,,,,,163,,,よる,22,明確,83,,
164,,,間違う,34,確認,135,,,,,164,,,講ずる,22,他国,83,,
165,,,守り抜く,32,増加,135,,,,,165,,,有する,22,犯罪,83,,
166,,,取り戻す,32,サービス,135,,,,,166,,,食い止める,21,岩場,83,,
167,,,やってくる,32,人材,134,,,,,167,,,残る,21,前提,82,,
168,,,整える,32,自民党,134,,,,,168,,,みる,21,内容,82,,
169,,,盛り込む,31,総合,133,,,,,169,,,即す,21,福島,82,,
170,,,攻める,31,情報,130,,,,,170,,,攻める,20,当時,82,,
171,,,訴える,31,事業者,130,,,,,171,,,上回る,20,事業者,82,,
172,,,伝える,31,引き上げ,130,,,,,172,,,伸びる,20,政権,81,,
173,,,関わる,31,希望,129,,,,,173,,,つくり上げる,20,対象,81,,
174,,,追い付く,29,施策,129,,,,,174,,,向かう,20,決定,80,,
175,,,戦う,29,全区,129,,,,,175,,,増やす,20,充実,80,,
176,,,避ける,29,法律,129,,,,,176,,,掛ける,19,チャンス,79,,
177,,,落とす,29,再生,128,,,,,177,,,問う,19,向上,79,,
178,,,有す,29,前提,128,,,,,178,,,負う,19,エネルギー,79,,
179,,,追いつく,29,計画,128,,,,,179,,,越える,19,介護,78,,
180,,,充てる,29,着実,128,,,,,180,,,かかる,19,確認,78,,
181,,,打つ,29,具体,127,,,,,181,,,あふれる,19,行動,78,,
182,,,寄り添う,28,等々,127,,,,,182,,,持てる,18,首脳,78,,
183,,,積み重ねる,28,決定,126,,,,,183,,,選ぶ,18,運用,77,,
184,,,残る,28,残念,126,,,,,184,,,寄り添う,18,条約,77,,
185,,,増やす,27,エネルギー,126,,,,,185,,,引き渡す,18,財政,77,,
186,,,もたらす,27,財源,125,,,,,186,,,深まる,18,国際,76,,
187,,,結ぶ,27,規制,124,,,,,187,,,結ぶ,17,情報,76,,
188,,,傾ける,27,当時,124,,,,,188,,,築く,17,評価,76,,
189,,,済む,27,国際法,123,,,,,189,,,めぐる,17,不安,76,,
190,,,あふれる,27,原則,122,,,,,190,,,届ける,16,行為,76,,
191,,,話す,26,行動,121,,,,,191,,,調べる,16,解決,76,,
192,,,生み出す,26,成果,120,,,,,192,,,充てる,16,各国,76,,
193,,,読む,26,解釈,119,,,,,193,,,住む,16,関税,76,,
194,,,義務づける,26,導入,118,,,,,194,,,付ける,16,拍手,76,,
195,,,会う,25,意見,118,,,,,195,,,残す,16,合意,76,,
196,,,歩む,25,対象,117,,,,,196,,,受け入れる,16,原発,75,,
197,,,送る,25,首脳会談,117,,,,,197,,,傾ける,16,限り,75,,
198,,,築く,25,安倍内閣,116,,,,,198,,,見据える,15,経験,75,,
199,,,務める,25,方針,116,,,,,199,,,切る,15,決意,75,,
200,,,当てはまる,25,地元,115,,,,,200,,,戻る,15,公正,74,,
201,,,付ける,24,先ほど,115,,,,,201,,,感じる,15,大統領,74,,
202,,,任せる,24,提供,114,,,,,202,,,願う,15,意義,74,,
203,,,なくす,24,一般,114,,,,,203,,,切り開く,15,そのため,74,,
204,,,及ぶ,24,人達,114,,,,,204,,,始まる,15,丁寧,73,,
205,,,亡くなる,24,経験,114,,,,,205,,,届く,15,安倍政権,73,,
206,,,高まる,24,明らか,113,,,,,206,,,反する,15,調整,73,,
207,,,覆す,23,輸出,112,,,,,207,,,信じる,15,計画,73,,
208,,,問う,23,会議,112,,,,,208,,,捉える,15,秘密,72,,
209,,,始まる,23,マイナス,111,,,,,209,,,望む,15,具体的,72,,
210,,,回る,23,日米同盟,110,,,,,210,,,掛かる,15,手続,72,,
211,,,集まる,23,可能性,110,,,,,211,,,書き込む,15,方針,72,,
212,,,取れる,23,提出,109,,,,,212,,,務める,15,GDP,72,,
213,,,陥る,22,訓練,109,,,,,213,,,済む,14,意思,71,,
214,,,委ねる,22,他方,109,,,,,214,,,抱える,14,首脳会談,71,,
215,,,まとめる,22,早期,108,,,,,215,,,鑑みる,14,国連,70,,
216,,,待つ,22,安心,108,,,,,216,,,抑える,14,沖縄,70,,
217,,,引き下げる,22,加速,107,,,,,217,,,備える,14,上昇,70,,
218,,,即す,22,非常,107,,,,,218,,,避ける,14,事業,70,,
219,,,書き込む,22,閣議決定,106,,,,,219,,,かける,14,先般,70,,
220,,,つくり上げる,22,対処,105,,,,,220,,,動く,14,ふう,69,,
221,,,禁じる,22,内容,105,,,,,221,,,用いる,14,出端,69,,
222,,,受け止める,21,賃上げ,105,,,,,222,,,成り立つ,14,貿易,69,,
223,,,切る,21,東京,105,,,,,223,,,送る,13,人々,69,,
224,,,動く,21,上昇,105,,,,,224,,,見える,13,取り組み,68,,
225,,,臨む,21,全国,104,,,,,225,,,起こす,13,成立,68,,
226,,,縛る,21,趣旨,104,,,,,226,,,歩む,13,法律,68,,
227,,,見える,21,期待,104,,,,,227,,,位置付ける,13,提供,68,,
228,,,望む,21,中国,104,,,,,228,,,過ぎる,13,テロ,68,,
229,,,移る,21,対話,104,,,,,229,,,遂げる,13,解釈,68,,
230,,,備える,21,期間,104,,,,,230,,,禁じる,13,武力,68,,
231,,,越える,21,外交,103,,,,,231,,,移る,13,施策,68,,
232,,,集める,21,省庁,102,,,,,232,,,買う,13,派遣,67,,
233,,,苦しむ,21,実行,101,,,,,233,,,付く,13,発展,67,,
234,,,落ちる,21,教育,101,,,,,234,,,絞る,12,時代,66,,
235,,,用いる,20,活躍,101,,,,,235,,,輝く,12,仕事,66,,
236,,,なくなる,20,国際,101,,,,,236,,,ふやす,12,開催,65,,
237,,,抱える,20,変化,100,,,,,237,,,引き下げる,12,消費税率,65,,
238,,,かなう,20,具体的,100,,,,,238,,,足す,12,賃上げ,65,,
239,,,受けとめる,20,基準,100,,,,,239,,,有す,12,医療,65,,
240,,,めぐる,20,間違い,99,,,,,240,,,集める,12,現場,64,,
241,,,広がる,20,四月,99,,,,,241,,,回る,12,人材,64,,
242,,,払う,20,策定,99,,,,,242,,,読む,12,信頼,63,,
243,,,買う,20,未来,99,,,,,243,,,苦しむ,12,一致,63,,
244,,,移す,20,人々,99,,,,,244,,,亡くなる,12,先ほど,63,,
245,,,併せる,20,一体,98,,,,,245,,,組み合わせる,12,国益,63,,
246,,,鑑みる,19,発展,98,,,,,246,,,満ちる,12,報告,62,,
247,,,とれる,19,若者,98,,,,,247,,,臨む,12,促進,62,,
248,,,遭う,19,トランプ大統領,98,,,,,248,,,離れる,12,最大限,62,,
249,,,遂げる,19,GDP,98,,,,,249,,,訪れる,12,活躍,61,,
250,,,申す,19,技術,96,,,,,250,,,改める,12,明らか,61,,
251,,,添える,19,高齢者,96,,,,,251,,,転じる,12,法の支配,60,,
252,,,話し合う,19,次第,96,,,,,252,,,乗る,11,災害,60,,
253,,,届ける,19,評価,95,,,,,253,,,集まる,11,原則,60,,
254,,,語る,19,構築,95,,,,,254,,,とれる,11,安心,60,,
255,,,掛ける,19,軽減,95,,,,,255,,,下げる,11,対処,60,,
256,,,巻き込む,18,武力攻撃,95,,,,,256,,,引き継ぐ,11,承認,60,,
257,,,減らす,18,任務,95,,,,,257,,,揺らぐ,11,全国,60,,
258,,,通る,18,消費,94,,,,,258,,,向き合う,11,国家,59,,
259,,,解す,18,批判,93,,,,,259,,,思い切る,11,アジア太平洋地域,59,,
260,,,込める,18,場所,93,,,,,260,,,培う,11,機会,59,,
261,,,抑える,18,地方創生,93,,,,,261,,,取り戻す,11,実行,59,,
262,,,暮らす,18,初め,93,,,,,262,,,切れる,11,技術,59,,
263,,,相次ぐ,17,紹介,92,,,,,263,,,見極める,11,万全,59,,
264,,,深まる,17,子供,92,,,,,264,,,忘れる,11,財源,58,,
265,,,見きわめる,17,国内,92,,,,,265,,,据える,11,支持,58,,
266,,,損なう,17,今般,92,,,,,266,,,先駆ける,11,本年,58,,
267,,,訪れる,17,労働,92,,,,,267,,,照らす,11,初め,57,,
268,,,組み合わせる,17,収益,92,,,,,268,,,撮る,10,危険,57,,
269,,,成り立つ,17,小規模,92,,,,,269,,,描く,10,トランプ次期大統領,57,,
270,,,諦める,17,防衛,92,,,,,270,,,やってくる,10,加速,57,,
271,,,立てる,17,促進,92,,,,,271,,,込む,10,韓国,56,,
272,,,調べる,17,現場,91,,,,,272,,,除く,10,貢献,56,,
273,,,起こす,16,提案,91,,,,,273,,,妨げる,10,税収,56,,
274,,,打ち出す,16,分析,90,,,,,274,,,従う,10,他方,56,,
275,,,回す,16,多様,90,,,,,275,,,陥る,10,仕組み,56,,
276,,,よる,16,拍手,90,,,,,276,,,きめる,10,地元,56,,
277,,,誓う,16,三本の矢,90,,,,,277,,,囲む,10,一体,56,,
278,,,過ぎる,16,減少,89,,,,,278,,,取れる,10,改正,56,,
279,,,下げる,16,連続,89,,,,,279,,,積み重ねる,10,消費税,56,,
280,,,学ぶ,16,暮らし,89,,,,,280,,,さらす,10,趣旨,55,,
281,,,捉える,16,消費税率,88,,,,,281,,,落ちる,10,お互い,55,,
282,,,招く,16,政治,88,,,,,282,,,造る,10,世代,55,,
283,,,反する,15,一部,88,,,,,283,,,闘う,10,生産,55,,
284,,,直す,15,困難,87,,,,,284,,,お目にかかる,9,発揮,54,,
285,,,要する,15,発揮,87,,,,,285,,,減らす,9,訪問,54,,
286,,,触れる,15,民主党政権,87,,,,,286,,,及ぼす,9,発信,54,,
287,,,覚える,15,調整,86,,,,,287,,,受け取る,9,変化,54,,
288,,,取り上げる,15,最大限,86,,,,,288,,,損なう,9,全区,54,,
289,,,撃ち落とす,15,他国,86,,,,,289,,,誓う,9,設置,54,,
290,,,生む,15,武力,86,,,,,290,,,語る,9,相手,54,,
291,,,取り除く,14,中心,86,,,,,291,,,要する,9,一般,54,,
292,,,占める,14,現実,85,,,,,292,,,支払う,9,創設,54,,
293,,,見守る,14,本年,85,,,,,293,,,行える,9,要請,54,,
294,,,乗る,14,補正予算,85,,,,,294,,,誇る,9,攻撃,54,,
295,,,育てる,14,福島,85,,,,,295,,,話す,9,引き上げ,54,,
296,,,帰る,14,被災地,85,,,,,296,,,たつ,9,戦略,53,,
297,,,残す,14,開催,85,,,,,297,,,分かつ,9,生命,53,,
298,,,離れる,14,行為,84,,,,,298,,,諦める,9,組織,53,,
299,,,付す,14,総理大臣,84,,,,,299,,,取り除く,9,保護,53,,
300,,,囲む,14,機会,84,,,,,300,,,貫く,9,姿勢,53,,
301,,,断ち切る,14,処遇,84,,,,,301,,,帰る,9,増加,53,,
302,,,はめる,14,審議,84,,,,,302,,,間違う,9,経済の好循環,53,,
303,,,埋める,13,災害,83,,,,,303,,,止める,9,サービス,53,,
304,,,運ぶ,13,建設,83,,,,,304,,,見せる,9,戦後,53,,
305,,,いらっしゃる,13,非正規,83,,,,,305,,,打つ,9,提案,53,,
306,,,飛ぶ,13,戦略,83,,,,,306,,,すぎる,8,給付,53,,
307,,,お目にかかる,13,限り,82,,,,,307,,,思い出す,8,国際法,53,,
308,,,積む,13,攻撃,82,,,,,308,,,引き出す,8,高齢者,53,,
309,,,賄う,13,PKO,82,,,,,309,,,驚く,8,在り方,52,,
310,,,絞る,13,子育て,82,,,,,310,,,とらわれる,8,自民党,52,,
311,,,働きかける,13,何回,82,,,,,311,,,積み上げる,8,積極,51,,
312,,,驚く,13,成立,81,,,,,312,,,報う,8,分析,51,,
313,,,起きる,13,アジア太平洋地域,81,,,,,313,,,たっとぶ,8,防衛,51,,
314,,,就く,12,景気,81,,,,,314,,,任せる,8,アメリカ,51,,
315,,,願う,12,従来,81,,,,,315,,,取り込む,8,成果,51,,
316,,,引く,12,財政健全化,81,,,,,316,,,起きる,8,使用,51,,
317,,,向き合う,12,締結,80,,,,,317,,,招く,8,準備,51,,
318,,,生きる,12,委員長,80,,,,,318,,,生きる,8,個別,51,,
319,,,戻れる,12,産業,80,,,,,319,,,眠る,8,価格,50,,
320,,,誇る,12,被害,80,,,,,320,,,伸ばす,8,輸入,50,,
321,,,慎む,12,集中,80,,,,,321,,,戻す,8,中心,50,,
322,,,正す,12,共有,80,,,,,322,,,踏み出す,8,テロ等準備罪,50,,
323,,,行える,12,引上げ,80,,,,,323,,,打ち出す,8,希望,50,,
324,,,推し進める,11,示し,80,,,,,324,,,見守る,8,非常,49,,
325,,,足す,11,団体,79,,,,,325,,,屈する,8,彼ら,49,,
326,,,照らす,11,づくり,79,,,,,326,,,取り入れる,8,労働,49,,
327,,,背負う,11,生産,79,,,,,327,,,呼びかける,8,直接,49,,
328,,,改める,11,自治体,79,,,,,328,,,巻き込む,8,開発,49,,
