,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
51,乏しい,4.0,含む,94.0,改革,196,,
52,ひどい,4.0,あり,94.0,現在,192,,
53,厚い,4.0,いける,93.0,自由,192,,
54,細かい,4.0,果たす,91.0,私たち,189,,
55,とうとい,4.0,行く,91.0,承知,189,,
56,うまい,4.0,応じる,90.0,皆さん,188,,
57,甘い,4.0,至る,87.0,場合,187,,
58,著しい,4.0,取る,85.0,平和,185,,
59,手厚い,4.0,決める,83.0,地方,183,,
60,ありがたい,4.0,しまう,83.0,考え方,183,,
61,いち早い,4.0,立つ,82.0,企業,182,,
62,薄い,3.0,ござる,81.0,成長,179,,
63,難い,3.0,続ける,80.0,全て,178,,
64,毛頭ない,3.0,進む,79.0,考え,178,,
65,痛ましい,3.0,いただける,79.0,新た,176,,
66,痛い,3.0,超える,75.0,環境,174,,
67,遅い,3.0,とる,73.0,協定,173,,
68,貧しい,3.0,させる,73.0,自衛隊,172,,
69,狭い,2.0,かかわる,73.0,観点,170,,
70,軽い,2.0,なす,73.0,法案,170,,
71,がたい,2.0,聞く,70.0,措置,169,,
72,かわいらしい,2.0,引き続く,69.0,大臣,169,,
73,激しい,2.0,生かす,68.0,発言,169,,
74,悲しい,2.0,変える,67.0,強化,167,,
75,恥ずかしい,2.0,講じる,67.0,負担,163,,
76,小さい,2.0,始める,67.0,北朝鮮,162,,
77,すごい,2.0,入れる,64.0,理解,161,,
78,汚い,2.0,起こる,63.0,以上,159,,
79,遠い,2.0,作る,62.0,安定,158,,
80,忙しい,2.0,使う,60.0,適切,156,,
81,目覚ましい,1.0,努める,60.0,十分,155,,
82,余儀ない,1.0,挙げる,59.0,大変,149,,
83,逞しい,1.0,やめる,57.0,年度,147,,
84,やさしい,1.0,違う,55.0,拡大,147,,
85,たくましい,1.0,支える,54.0,実施,146,,
86,優しい,1.0,開く,54.0,整備,144,,
87,ばかばかしい,1.0,増す,52.0,可能,143,,
88,数少ない,1.0,尽くす,52.0,女性,140,,
89,申し訳ない,1.0,限る,51.0,責任,139,,
90,みずみずしい,1.0,つなげる,51.0,連携,138,,
91,怖い,1.0,与える,51.0,多く,137,,
92,暗い,1.0,増える,51.0,推進,137,,
93,若々しい,1.0,下がる,50.0,要件,137,,
94,憎たらしい,1.0,続く,50.0,社会,136,,
95,間近い,1.0,加える,49.0,議員,134,,
96,速い,1.0,高める,48.0,安全保障,134,,
97,底堅い,1.0,もらう,48.0,改善,134,,
98,うれしい,1.0,伴う,47.0,活動,134,,
99,緩い,1.0,重ねる,47.0,それぞれ,133,,
100,濃い,1.0,知る,47.0,中国,130,,
101,はかばかしい,1.0,取りまとめる,47.0,質問,129,,
102,太い,1.0,頑張る,44.0,安全,129,,
103,はかない,1.0,脅かす,44.0,協力,129,,
104,づらい,1.0,置く,43.0,行使,129,,
105,意義深い,1.0,答える,43.0,さまざま,128,,
106,喜ばしい,1.0,しれる,42.0,皆様,127,,
107,つつがない,1.0,伺う,42.0,いずれ,127,,
108,,,とどまる,42.0,全体,126,,
109,,,差し控える,42.0,平成,125,,
110,,,広がる,41.0,賃金,125,,
111,,,定める,41.0,お答え,124,,
112,,,担う,41.0,生活,123,,
113,,,見直す,41.0,次第,122,,
114,,,ふえる,40.0,事態,121,,
115,,,取り巻く,40.0,参加,118,,
116,,,満たす,40.0,意味,118,,
117,,,のっとる,40.0,そこ,118,,
118,,,関わる,40.0,全力,117,,
119,,,沿う,39.0,大切,117,,
120,,,経る,39.0,昨年,117,,
121,,,分かる,39.0,国内,117,,
122,,,設ける,38.0,自由貿易,117,,
123,,,及ぶ,38.0,憲法,116,,
124,,,期す,37.0,雇用,116,,
125,,,もつ,37.0,努力,115,,
126,,,つくり出す,36.0,国際社会,114,,
127,,,促す,36.0,意見,113,,
128,,,通じる,36.0,取組,112,,
129,,,訴える,36.0,海外,111,,
130,,,応える,35.0,役割,111,,
131,,,書く,34.0,基本,111,,
132,,,生み出す,34.0,年金,111,,
133,,,合わせる,34.0,再生,110,,
134,,,合う,34.0,与党,109,,
135,,,わかる,33.0,目標,108,,
136,,,係る,33.0,具体,108,,
137,,,深める,33.0,立場,108,,
138,,,繰り返す,32.0,発生,107,,
139,,,生じる,32.0,維持,106,,
140,,,許す,32.0,分野,105,,
141,,,受けとめる,31.0,中小企業,105,,
142,,,比べる,31.0,社会保障,105,,
143,,,覆す,31.0,復興,103,,
144,,,減る,30.0,国々,102,,
145,,,言える,30.0,農業,102,,
146,,,もたらす,30.0,ここ,101,,
147,,,受け止める,30.0,年間,101,,
148,,,資する,29.0,予算,101,,
149,,,呼ぶ,29.0,審議,101,,
150,,,生まれる,29.0,委員会,100,,
151,,,あわせる,29.0,見直し,99,,
152,,,守り抜く,29.0,基本的,98,,
153,,,広げる,29.0,影響,98,,
154,,,引き上げる,28.0,能力,96,,
155,,,盛り込む,28.0,安倍内閣,96,,
156,,,異なる,28.0,導入,96,,
157,,,待つ,28.0,体制,95,,
158,,,防ぐ,27.0,早期,94,,
159,,,来る,27.0,活用,93,,
160,,,整える,27.0,一つ,93,,
161,,,決まる,26.0,お話,92,,
162,,,なくなる,26.0,着実,92,,
163,,,くれる,26.0,利益,92,,
164,,,掲げる,26.0,将来,92,,
165,,,控える,26.0,集団的自衛権,92,,
166,,,くださる,25.0,さん,91,,
167,,,失う,25.0,共有,91,,
168,,,かなう,25.0,段階,91,,
169,,,高まる,25.0,規制,90,,
170,,,表す,24.0,調査,90,,
171,,,働きかける,24.0,閣議決定,90,,
172,,,終わる,24.0,確か,89,,
173,,,伝える,24.0,投資,89,,
174,,,見込む,24.0,構築,89,,
175,,,なくす,23.0,期待,89,,
176,,,乗り越える,23.0,可能性,89,,
177,,,会う,23.0,協議,89,,
178,,,迎える,23.0,目的,89,,
179,,,よる,22.0,デフレ,88,,
180,,,講ずる,22.0,締結,88,,
181,,,有する,22.0,会談,88,,
182,,,食い止める,22.0,残念,87,,
183,,,残る,21.0,提出,87,,
184,,,みる,21.0,武力攻撃,87,,
185,,,即す,21.0,外交,86,,
186,,,攻める,21.0,水準,86,,
187,,,上回る,20.0,その後,85,,
188,,,伸びる,20.0,所得,85,,
189,,,つくり上げる,20.0,効果,84,,
190,,,向かう,20.0,輸出,84,,
191,,,増やす,20.0,日米同盟,83,,
192,,,掛ける,20.0,機能,83,,
193,,,問う,19.0,総合,83,,
194,,,負う,19.0,明確,83,,
195,,,越える,19.0,他国,83,,
196,,,かかる,19.0,犯罪,83,,
197,,,あふれる,19.0,岩場,82,,
198,,,持てる,19.0,もと,82,,
199,,,選ぶ,18.0,前提,82,,
200,,,寄り添う,18.0,内容,82,,
201,,,引き渡す,18.0,福島,82,,
202,,,深まる,18.0,当時,82,,
203,,,結ぶ,18.0,事業者,81,,
204,,,築く,17.0,政権,81,,
205,,,めぐる,17.0,対象,80,,
206,,,届ける,17.0,決定,80,,
207,,,調べる,16.0,充実,79,,
208,,,充てる,16.0,チャンス,79,,
209,,,住む,16.0,向上,79,,
210,,,付ける,16.0,エネルギー,78,,
211,,,残す,16.0,介護,78,,
212,,,受け入れる,16.0,確認,78,,
213,,,傾ける,16.0,行動,78,,
214,,,見据える,16.0,首脳,77,,
215,,,切る,15.0,運用,77,,
216,,,戻る,15.0,条約,77,,
217,,,感じる,15.0,財政,76,,
218,,,願う,15.0,国際,76,,
219,,,切り開く,15.0,情報,76,,
220,,,始まる,15.0,評価,76,,
221,,,届く,15.0,不安,76,,
222,,,反する,15.0,行為,76,,
223,,,信じる,15.0,解決,76,,
224,,,捉える,15.0,各国,76,,
225,,,望む,15.0,関税,76,,
226,,,掛かる,15.0,拍手,76,,
227,,,書き込む,15.0,合意,75,,
228,,,務める,15.0,原発,75,,
229,,,済む,15.0,限り,75,,
230,,,抱える,14.0,経験,75,,
231,,,鑑みる,14.0,決意,74,,
232,,,抑える,14.0,公正,74,,
233,,,備える,14.0,大統領,74,,
234,,,避ける,14.0,意義,74,,
235,,,かける,14.0,そのため,73,,
236,,,動く,14.0,丁寧,73,,
237,,,用いる,14.0,安倍政権,73,,
238,,,成り立つ,14.0,調整,73,,
239,,,送る,14.0,計画,72,,
240,,,見える,13.0,秘密,72,,
241,,,起こす,13.0,具体的,72,,
242,,,歩む,13.0,手続,72,,
243,,,位置付ける,13.0,方針,72,,
244,,,過ぎる,13.0,GDP,71,,
245,,,遂げる,13.0,意思,71,,
246,,,禁じる,13.0,時間,71,,
247,,,移る,13.0,首脳会談,70,,
248,,,買う,13.0,国連,70,,
249,,,付く,13.0,沖縄,70,,
250,,,絞る,13.0,上昇,70,,
251,,,輝く,12.0,事業,70,,
252,,,ふやす,12.0,先般,69,,
253,,,引き下げる,12.0,ふう,69,,
254,,,足す,12.0,出端,69,,
255,,,有す,12.0,貿易,69,,
256,,,集める,12.0,人々,68,,
257,,,回る,12.0,取り組み,68,,
258,,,読む,12.0,成立,68,,
259,,,苦しむ,12.0,法律,68,,
260,,,亡くなる,12.0,提供,68,,
261,,,組み合わせる,12.0,テロ,68,,
262,,,満ちる,12.0,解釈,68,,
263,,,臨む,12.0,武力,68,,
264,,,離れる,12.0,施策,67,,
265,,,訪れる,12.0,派遣,67,,
266,,,改める,12.0,発展,66,,
267,,,転じる,12.0,時代,66,,
268,,,乗る,12.0,仕事,65,,
269,,,集まる,11.0,開催,65,,
270,,,とれる,11.0,消費税率,65,,
271,,,下げる,11.0,賃上げ,65,,
272,,,引き継ぐ,11.0,医療,64,,
273,,,揺らぐ,11.0,現場,64,,
274,,,向き合う,11.0,人材,63,,
275,,,思い切る,11.0,自体,63,,
276,,,培う,11.0,信頼,63,,
277,,,取り戻す,11.0,一致,63,,
278,,,切れる,11.0,先ほど,63,,
279,,,見極める,11.0,国益,62,,
280,,,忘れる,11.0,報告,62,,
281,,,据える,11.0,促進,62,,
282,,,先駆ける,11.0,最大限,61,,
283,,,照らす,11.0,活躍,61,,
284,,,撮る,11.0,明らか,60,,
285,,,描く,10.0,法の支配,60,,
286,,,やってくる,10.0,災害,60,,
287,,,込む,10.0,原則,60,,
288,,,除く,10.0,安心,60,,
289,,,妨げる,10.0,対処,60,,
290,,,従う,10.0,承認,60,,
291,,,陥る,10.0,全国,59,,
292,,,きめる,10.0,国家,59,,
293,,,囲む,10.0,アジア太平洋地域,59,,
294,,,取れる,10.0,機会,59,,
295,,,積み重ねる,10.0,実行,59,,
296,,,さらす,10.0,技術,59,,
297,,,落ちる,10.0,万全,58,,
298,,,造る,10.0,財源,58,,
299,,,闘う,10.0,支持,58,,
300,,,お目にかかる,10.0,自分,57,,
301,,,減らす,9.0,本年,57,,
302,,,及ぼす,9.0,初め,57,,
303,,,受け取る,9.0,危険,57,,
304,,,損なう,9.0,トランプ次期大統領,57,,
305,,,誓う,9.0,加速,56,,
306,,,語る,9.0,韓国,56,,
307,,,要する,9.0,貢献,56,,
308,,,支払う,9.0,税収,56,,
309,,,行える,9.0,他方,56,,
310,,,誇る,9.0,仕組み,56,,
311,,,話す,9.0,地元,56,,
312,,,たつ,9.0,一体,56,,
313,,,分かつ,9.0,改正,56,,
314,,,諦める,9.0,消費税,55,,
315,,,取り除く,9.0,趣旨,55,,
316,,,貫く,9.0,お互い,55,,
317,,,帰る,9.0,世代,55,,
318,,,間違う,9.0,生産,54,,
319,,,止める,9.0,発揮,54,,
320,,,見せる,9.0,訪問,54,,
321,,,打つ,9.0,発信,54,,
322,,,すぎる,9.0,変化,54,,
323,,,思い出す,8.0,全区,54,,
324,,,引き出す,8.0,設置,54,,
325,,,驚く,8.0,相手,54,,
326,,,とらわれる,8.0,一般,54,,
327,,,積み上げる,8.0,創設,54,,
328,,,報う,8.0,要請,54,,
329,,,たっとぶ,8.0,攻撃,54,,
330,,,任せる,8.0,引き上げ,53,,
331,,,取り込む,8.0,戦略,53,,
332,,,起きる,8.0,生命,53,,
333,,,招く,8.0,組織,53,,
334,,,生きる,8.0,保護,53,,
335,,,眠る,8.0,姿勢,53,,
336,,,伸ばす,8.0,増加,53,,
337,,,戻す,8.0,経済の好循環,53,,
338,,,踏み出す,8.0,サービス,53,,
339,,,打ち出す,8.0,戦後,53,,
340,,,見守る,8.0,提案,53,,
341,,,屈する,8.0,給付,53,,
342,,,取り入れる,8.0,国際法,53,,
343,,,かく,8.0,高齢者,52,,
344,,,呼びかける,8.0,在り方,52,,
345,,,巻き込む,8.0,自民党,51,,
346,,,申し入れる,8.0,積極,51,,
347,,,考え抜く,8.0,分析,51,,
348,,,回す,8.0,防衛,51,,
349,,,ぶれる,8.0,アメリカ,51,,
350,,,追いつく,8.0,成果,51,,
351,,,とめる,7.0,使用,51,,
352,,,過ごす,7.0,準備,51,,
353,,,まとめる,7.0,個別,50,,
354,,,つかむ,7.0,価格,50,,
355,,,すぐれる,7.0,輸入,50,,
356,,,申す,7.0,中心,50,,
357,,,出せる,7.0,テロ等準備罪,50,,
358,,,込める,7.0,希望,49,,
359,,,つなぐ,7.0,非常,49,,
360,,,削る,7.0,彼ら,49,,
361,,,尊ぶ,7.0,労働,49,,
362,,,立てる,7.0,これら,49,,
363,,,携える,7.0,直接,49,,
364,,,移す,7.0,開発,49,,
365,,,委ねる,7.0,把握,49,,
366,,,かねる,7.0,緊密,49,,
367,,,刻む,7.0,引上げ,49,,
368,,,当てはまる,7.0,始め,49,,
369,,,当てはめる,7.0,範囲,49,,
370,,,困る,7.0,権利,49,,
371,,,突っ込む,7.0,武力行使,49,,
372,,,義務づける,7.0,達成,48,,
373,,,触れる,7.0,消費,48,,
374,,,払う,7.0,困難,48,,
375,,,慎む,7.0,収益,48,,
376,,,賄う,7.0,今般,48,,
377,,,取り残す,7.0,真摯,48,,
378,,,学ぶ,6.0,消費者,48,,
379,,,もらえる,6.0,懸念,47,,
380,,,なれる,6.0,政治,47,,
381,,,引く,6.0,軽減,47,,
382,,,優れる,6.0,小規模,47,,
383,,,生まれ変わる,6.0,拡充,47,,
384,,,長引く,6.0,以降,47,,
385,,,占める,6.0,従来,47,,
386,,,併せる,6.0,人口,46,,
387,,,交わす,6.0,発効,46,,
388,,,扱う,6.0,改定,46,,
389,,,成し遂げる,6.0,追求,46,,
390,,,つける,6.0,トランプ大統領,46,,
391,,,逃れる,6.0,人達,45,,
392,,,動き出す,6.0,紹介,45,,
393,,,振れる,6.0,あり方,45,,
394,,,課する,6.0,重要性,45,,
395,,,走る,6.0,中身,45,,
396,,,顧みる,6.0,一部,45,,
397,,,準ずる,6.0,教育,45,,
398,,,解す,6.0,事案,45,,
399,,,保つ,6.0,共同,45,,
400,,,握る,6.0,未来,44,,
401,,,犯す,6.0,以外,44,,
402,,,返す,6.0,減少,44,,
403,,,滞る,6.0,万人,44,,
404,,,押し上げる,6.0,会議,44,,
405,,,携わる,6.0,省庁,44,,
406,,,下ろす,6.0,最初,44,,
407,,,揺るぐ,6.0,指導,44,,
408,,,売る,6.0,暮らし,44,,
409,,,立ち戻る,5.0,示し,44,,
410,,,参る,5.0,子供達,44,,
411,,,頼る,5.0,防止,44,,
412,,,付す,5.0,法整備,44,,
413,,,寄せる,5.0,市場,44,,
414,,,分ける,5.0,やり取り,44,,
415,,,遭う,5.0,活力,43,,
416,,,罰する,5.0,内閣,43,,
417,,,やじる,5.0,補正予算,43,,
418,,,戦う,5.0,基地,43,,
419,,,聞こえる,5.0,徹底,43,,
420,,,まとまる,5.0,会合,43,,
421,,,行き交う,5.0,変更,43,,
422,,,存じ上げる,5.0,過程,43,,
423,,,戻れる,5.0,一番,42,,
424,,,育む,5.0,民間,42,,
425,,,疑う,5.0,外国,42,,
426,,,話し合う,5.0,一年,42,,
427,,,排す,5.0,民主党政権,42,,
428,,,行き渡る,5.0,情勢,42,,
429,,,借りる,5.0,管理,42,,
430,,,説く,5.0,総理大臣,42,,
431,,,乗せる,5.0,条件,42,,
432,,,押し切る,5.0,任務,42,,
433,,,落ち込む,5.0,米軍,42,,
434,,,挑む,5.0,循環,42,,
435,,,見つかる,5.0,脅威,42,,
436,,,適す,5.0,策定,42,,
437,,,伝わる,5.0,信頼関係,42,,
438,,,相次ぐ,5.0,農業者,42,,
439,,,渡る,5.0,場所,42,,
440,,,組む,5.0,保護主義,42,,
441,,,でき上がる,5.0,物価,41,,
442,,,放つ,5.0,義務,41,,
443,,,積む,5.0,民主主義,41,,
444,,,懸ける,5.0,建設,41,,
445,,,託す,5.0,憲法改正,41,,
446,,,かなえる,5.0,処罰,41,,
447,,,暮らす,5.0,供給,40,,
448,,,推し進める,5.0,づくり,40,,
449,,,確かめる,5.0,指定,40,,
450,,,成る,5.0,存在,40,,
451,,,酌む,5.0,経営,40,,
452,,,生む,5.0,等々,40,,
453,,,立ち向かう,5.0,豊か,40,,
454,,,崩れる,5.0,弾道ミサイル,40,,
455,,,かち取る,5.0,批准,40,,
456,,,課す,5.0,不可欠,39,,
457,,,強いる,5.0,法人,39,,
458,,,とどめる,5.0,日本人,39,,
459,,,取り組める,5.0,移設,39,,
460,,,振る舞う,5.0,お願い,39,,
461,,,終える,5.0,自治体,39,,
462,,,死ぬ,5.0,枠組み,39,,
463,,,なさる,5.0,根底,39,,
464,,,かみ合う,5.0,整理,39,,
465,,,効く,5.0,圧力,39,,
466,,,返る,5.0,慎重,39,,
467,,,貸す,5.0,農林水産業,39,,
468,,,食う,4.0,ミサイル,39,,
469,,,足りる,4.0,会計検査院,39,,
470,,,まつ,4.0,生産性,38,,
471,,,添える,4.0,展開,38,,
472,,,縛る,4.0,ほか,38,,
473,,,反す,4.0,経済成長,38,,
474,,,かわる,4.0,検証,38,,
475,,,傷つける,4.0,例外,38,,
476,,,就く,4.0,対話,38,,
477,,,偏る,4.0,訓練,38,,
478,,,覚える,4.0,難病,38,,
479,,,賜る,4.0,経済圏,38,,
480,,,差し伸べる,4.0,指示,38,,
481,,,整う,4.0,避難,38,,
482,,,上る,4.0,か国,38,,
483,,,食べる,4.0,子供,38,,
484,,,踏む,4.0,現実,38,,
485,,,はおる,4.0,作業,38,,
486,,,かみしめる,4.0,我が国の存立,38,,
487,,,誤る,4.0,APEC,38,,
488,,,下す,4.0,パラリンピック,37,,
489,,,属する,4.0,反映,37,,
490,,,徹す,4.0,処遇,37,,
491,,,飛ぶ,4.0,総理,37,,
492,,,尽きる,4.0,被災地,37,,
493,,,助ける,4.0,被害,37,,
494,,,通る,4.0,相当,37,,
495,,,導く,4.0,基盤,36,,
496,,,いらっしゃる,4.0,基準,36,,
497,,,追い付く,4.0,独立,36,,
498,,,義務付ける,4.0,規定,36,,
499,,,落とす,4.0,抑止力,36,,
500,,,欠く,4.0,部隊,36,,
501,,,絶つ,4.0,動き,36,,
502,,,運ぶ,4.0,若者,36,,
503,,,雇う,4.0,レベル,36,,
504,,,育つ,4.0,二十一世紀,36,,
505,,,背負う,4.0,働きかけ,36,,
506,,,害す,4.0,率直,36,,
507,,,実る,4.0,同様,36,,
508,,,落ち着く,4.0,被災,36,,
509,,,足る,4.0,リスク,36,,
510,,,裏切る,4.0,手段,36,,
511,,,抜ける,4.0,明白,36,,
512,,,達す,4.0,機雷,36,,
513,,,通す,3.0,子育て,35,,
514,,,振り向ける,3.0,財政健全化,35,,
515,,,張る,3.0,四月,35,,
516,,,教える,3.0,競争,35,,
517,,,倒れる,3.0,期間,35,,
518,,,重なる,3.0,限定,35,,
519,,,思える,3.0,適正,35,,
520,,,秘める,3.0,完全,35,,
521,,,育てる,3.0,地方創生,35,,
522,,,繰り越す,3.0,国会決議,35,,
523,,,たがえる,3.0,批判,34,,
524,,,洗い出す,3.0,たくさん,34,,
525,,,役立てる,3.0,依存,34,,
526,,,表する,3.0,脱却,34,,
527,,,現れる,3.0,活性化,34,,
528,,,付する,3.0,想定,34,,
529,,,働ける,3.0,繁栄,34,,
530,,,つくれる,3.0,価値,34,,
531,,,抱き締める,3.0,戦略的,34,,
532,,,動かす,3.0,移転,34,,
533,,,位置づける,3.0,絶対,34,,
534,,,使える,3.0,原子力,34,,
535,,,見舞う,3.0,実態,34,,
536,,,抱く,3.0,利用,34,,
537,,,悩む,3.0,限度,34,,
538,,,惜しむ,3.0,化学兵器,34,,
539,,,加わる,3.0,制裁,34,,
540,,,かえる,3.0,特別,33,,
541,,,かち得る,3.0,持続,33,,
542,,,去る,3.0,普天間飛行場,33,,
543,,,導き出す,3.0,結論,33,,
544,,,堪える,3.0,保険料,33,,
545,,,黙る,3.0,多様,33,,
546,,,被る,3.0,高位,33,,
547,,,止まる,3.0,インフラ,33,,
548,,,おくれる,3.0,主導,33,,
549,,,分かれる,3.0,職員,33,,
550,,,値する,3.0,財務省,33,,
551,,,帰す,3.0,二つ割り,33,,
552,,,閉じる,3.0,一人,32,,
553,,,助け合う,3.0,事実上,32,,
554,,,達する,3.0,日本経済,32,,
555,,,見出す,3.0,開始,32,,
556,,,あおる,3.0,産業,32,,
557,,,殺す,3.0,毎年,32,,
558,,,命ずる,3.0,転嫁,32,,
559,,,逃げる,3.0,再生可能エネルギー,32,,
560,,,座す,3.0,第一次,32,,
561,,,急ぐ,3.0,提言,32,,
562,,,当てる,3.0,団体,32,,
563,,,おりる,3.0,抑制,32,,
564,,,向く,3.0,程度,32,,
565,,,のせる,3.0,自衛,32,,
566,,,買い入れる,3.0,憲法上,32,,
567,,,行ける,3.0,幸福,32,,
568,,,来す,3.0,名目,32,,
569,,,隠す,3.0,大切なこと,32,,
570,,,取り上げる,3.0,選択,31,,
571,,,たたく,3.0,選挙,31,,
572,,,利する,3.0,プラス,31,,
573,,,解く,3.0,要望,31,,
574,,,付け入る,3.0,継続,31,,
575,,,揺るがす,3.0,景気回復,31,,
576,,,防げる,3.0,税制,31,,
577,,,科す,3.0,公表,31,,
578,,,要る,2.0,審査,31,,
579,,,勝ち抜く,2.0,迅速,31,,
580,,,磨く,2.0,表明,31,,
581,,,配る,2.0,関連,31,,
582,,,持ち込む,2.0,家族,31,,
583,,,受け継ぐ,2.0,警察,31,,
584,,,率いる,2.0,オバマ大統領,31,,
585,,,祈る,2.0,平和安全法制,31,,
586,,,割れる,2.0,最大,30,,
587,,,守れる,2.0,成長戦略,30,,
588,,,勝つ,2.0,野党,30,,
589,,,ぶつかる,2.0,障害,30,,
590,,,産む,2.0,以来,30,,
591,,,おそれる,2.0,配慮,30,,
592,,,踏み外す,2.0,速やか,30,,
593,,,住み慣れる,2.0,政労,30,,
594,,,ほかなる,2.0,勘案,30,,
595,,,楽しむ,2.0,主張,30,,
596,,,作れる,2.0,基本方針,30,,
597,,,図れる,2.0,事故,30,,
598,,,見出せる,2.0,極め手,30,,
599,,,振り返る,2.0,イノベーション,30,,
600,,,遅れる,2.0,資料,30,,
601,,,投げ込む,2.0,戦争,30,,
602,,,盛り上がる,2.0,概念,30,,
603,,,迫る,2.0,しよう,30,,
604,,,ためる,2.0,大企業,30,,
605,,,潜る,2.0,国務大臣,30,,
606,,,あらわれる,2.0,行政,30,,
607,,,脱す,2.0,同意,30,,
608,,,掘り起こす,2.0,品目,30,,
609,,,ばらまく,2.0,人口減少,30,,
610,,,見きわめる,2.0,最小,30,,
611,,,論ずる,2.0,拉致被害者,30,,
612,,,打ち捨てる,2.0,全う,30,,
613,,,芽吹く,2.0,賛成,30,,
614,,,沸く,2.0,施設,29,,
615,,,かさむ,2.0,アジア,29,,
616,,,広まる,2.0,歳出,29,,
617,,,突き破る,2.0,監視,29,,
618,,,飛び込む,2.0,PKO,29,,
619,,,駆け回る,2.0,負担軽減,29,,
620,,,乗り出す,2.0,医療費,29,,
621,,,選べる,2.0,不断,29,,
622,,,羽ばたける,2.0,深刻,29,,
623,,,洗う,2.0,間違い,29,,
624,,,拭き取る,2.0,需要,29,,
625,,,挟む,2.0,一日,29,,
626,,,包む,2.0,残余,29,,
627,,,出かける,2.0,登壇,29,,
628,,,羽ばたく,2.0,意欲,29,,
629,,,果たせる,2.0,自ら,29,,
630,,,耐える,2.0,こちら,29,,
631,,,承る,2.0,アフリカ,29,,
632,,,飛び越える,2.0,撤廃,29,,
633,,,差し迫る,2.0,削減,28,,
634,,,指す,2.0,大胆,28,,
635,,,裏付ける,2.0,誤解,28,,
636,,,対す,2.0,Osprey,28,,
637,,,狭まる,2.0,作成,28,,
638,,,構う,2.0,設備投資,28,,
639,,,埋める,2.0,格差,28,,
640,,,はめる,2.0,何回,28,,
641,,,またがる,2.0,再就職,28,,
642,,,切り捨てる,2.0,簡単,28,,
643,,,売り込む,2.0,そのもの,28,,
644,,,結び付く,2.0,思い,28,,
645,,,奪う,2.0,三本の矢,28,,
646,,,やり遂げる,2.0,危険性,28,,
