,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
79,固い,3.0,引き上げる,104.0,安全,262,,
80,狭い,3.0,加える,103.0,要件,261,,
81,怪しい,3.0,努める,102.0,議員,258,,
82,底堅い,3.0,いただける,101.0,大変,258,,
83,重たい,3.0,重ねる,100.0,賃金,258,,
84,申し訳ない,3.0,使う,100.0,そこ,257,,
85,細かい,3.0,ふえる,99.0,社会保障,253,,
86,悲しい,3.0,講じる,97.0,年度,249,,
87,しつこい,3.0,挙げる,96.0,女性,247,,
88,ほしい,2.0,尽くす,91.0,消費税,243,,
89,軽い,2.0,引き続く,91.0,昨年,242,,
90,いち早い,2.0,書く,89.0,負担,241,,
91,懐かしい,2.0,入れる,88.0,承知,240,,
92,誇らしい,2.0,来る,88.0,社会,236,,
93,ありがたい,2.0,深める,86.0,デフレ,235,,
94,づらい,2.0,高める,86.0,意味,234,,
95,汚い,2.0,至る,83.0,推進,230,,
96,鈍い,2.0,合わせる,82.0,復興,230,,
97,喜ばしい,2.0,始める,82.0,海外,229,,
98,情けない,2.0,比べる,81.0,予算,229,,
99,遅い,2.0,増える,81.0,協力,228,,
100,おどろおどろしい,2.0,取る,80.0,交渉,228,,
101,忙しい,2.0,定める,78.0,目標,227,,
102,緩い,2.0,答える,75.0,行使,225,,
103,賢い,1.0,限る,74.0,立場,221,,
104,うい,1.0,許す,73.0,雇用,221,,
105,ばかばかしい,1.0,向かう,72.0,全体,219,,
106,根強い,1.0,資する,72.0,基本的,219,,
107,かわいい,1.0,生じる,72.0,プラス,219,,
108,青い,1.0,置く,68.0,憲法,218,,
109,騒がしい,1.0,伴う,68.0,以上,218,,
110,頼もしい,1.0,下がる,67.0,もと,217,,
111,きやすい,1.0,通じる,65.0,ここ,216,,
112,見にくい,1.0,やめる,65.0,いずれ,214,,
113,そぐわない,1.0,支える,65.0,基本,214,,
114,寂しい,1.0,取りまとめる,64.0,法案,211,,
115,ひとしい,1.0,くださる,64.0,取り組み,211,,
116,ゆゆしい,1.0,応える,63.0,それぞれ,207,,
117,はかばかしい,1.0,かかる,63.0,影響,205,,
118,白い,1.0,開く,62.0,多く,204,,
119,冷たい,1.0,上回る,62.0,お答え,203,,
120,有り難い,1.0,頑張る,61.0,皆様,203,,
121,たやすい,1.0,感じる,61.0,目的,203,,
122,かゆい,1.0,見込む,61.0,活用,203,,
123,鋭い,1.0,決まる,59.0,質問,201,,
124,輝かしい,1.0,のっとる,58.0,年間,201,,
125,うとい,1.0,差し控える,58.0,確か,197,,
126,浅い,1.0,言える,57.0,十分,194,,
127,っぽい,1.0,見直す,57.0,適切,193,,
128,軟らかい,1.0,期す,56.0,生活,193,,
129,幼い,1.0,掲げる,55.0,連携,193,,
130,甘い,1.0,伺う,55.0,明確,190,,
131,なるい,1.0,つくり出す,54.0,措置,190,,
132,やましい,1.0,とどまる,53.0,事態,190,,
133,等しい,1.0,繰り返す,53.0,ふう,189,,
134,ほど遠い,1.0,もつ,52.0,安全保障,187,,
135,くだらない,1.0,住む,52.0,国際社会,186,,
136,黄色い,1.0,増す,52.0,発生,183,,
137,やわらかい,1.0,切り開く,52.0,可能,182,,
138,好ましい,1.0,分かる,52.0,様々,180,,
139,物すごい,1.0,係る,50.0,安倍政権,179,,
140,,,つなげる,50.0,分野,177,,
141,,,沿う,50.0,年金,177,,
142,,,担う,49.0,段階,176,,
143,,,減る,49.0,機能,175,,
144,,,生まれる,49.0,充実,175,,
145,,,作る,49.0,北朝鮮,175,,
146,,,負う,48.0,さん,174,,
147,,,つける,47.0,投資,173,,
148,,,伸びる,46.0,全力,173,,
149,,,広げる,46.0,農業,173,,
150,,,満たす,46.0,時代,171,,
151,,,失う,45.0,お話,170,,
152,,,促す,45.0,所得,166,,
153,,,異なる,45.0,与党,165,,
154,,,迎える,44.0,拡大,164,,
155,,,持てる,43.0,派遣,164,,
156,,,防ぐ,43.0,見直し,163,,
157,,,知る,43.0,調査,163,,
158,,,合う,42.0,医療,161,,
159,,,ふやす,42.0,仕事,160,,
160,,,有する,42.0,介護,160,,
161,,,設ける,41.0,能力,159,,
162,,,受け入れる,40.0,物価,157,,
163,,,くれる,39.0,時間,155,,
164,,,脅かす,39.0,一つ,155,,
165,,,控える,38.0,決意,153,,
166,,,あわせる,37.0,自由,152,,
167,,,戻る,37.0,合意,152,,
168,,,取り巻く,37.0,水準,152,,
169,,,終わる,37.0,維持,151,,
170,,,輝く,37.0,役割,151,,
171,,,除く,37.0,効果,150,,
172,,,選ぶ,36.0,運用,150,,
173,,,表す,36.0,集団的自衛権,149,,
174,,,みる,36.0,将来,146,,
175,,,引き渡す,35.0,仕組み,146,,
176,,,見据える,35.0,中小企業,146,,
177,,,かける,35.0,取組,146,,
178,,,転じる,35.0,向上,145,,
179,,,経る,34.0,税収,144,,
180,,,間違う,34.0,政権,143,,
181,,,守り抜く,34.0,武力行使,143,,
182,,,取り戻す,32.0,ルール,142,,
183,,,やってくる,32.0,貢献,142,,
184,,,整える,32.0,改正,141,,
185,,,盛り込む,32.0,体制,141,,
186,,,攻める,31.0,財政,140,,
187,,,訴える,31.0,解決,139,,
188,,,伝える,31.0,脱却,139,,
189,,,関わる,31.0,先般,138,,
190,,,追い付く,31.0,給付,138,,
191,,,戦う,29.0,そのため,137,,
192,,,避ける,29.0,事業,137,,
193,,,落とす,29.0,リスク,137,,
194,,,有す,29.0,その後,136,,
195,,,追いつく,29.0,参加,136,,
196,,,充てる,29.0,出端,135,,
197,,,打つ,29.0,確認,135,,
198,,,寄り添う,29.0,増加,135,,
199,,,積み重ねる,28.0,サービス,134,,
200,,,残る,28.0,人材,134,,
201,,,増やす,28.0,自民党,133,,
202,,,もたらす,27.0,総合,130,,
203,,,結ぶ,27.0,情報,130,,
204,,,傾ける,27.0,事業者,130,,
205,,,済む,27.0,引き上げ,129,,
206,,,あふれる,27.0,希望,129,,
207,,,話す,27.0,施策,129,,
208,,,生み出す,26.0,全区,129,,
209,,,読む,26.0,法律,128,,
210,,,義務づける,26.0,再生,128,,
211,,,会う,26.0,前提,128,,
212,,,歩む,25.0,計画,128,,
213,,,送る,25.0,着実,127,,
214,,,築く,25.0,具体,127,,
215,,,務める,25.0,等々,126,,
216,,,当てはまる,25.0,決定,126,,
217,,,付ける,25.0,残念,126,,
218,,,任せる,24.0,エネルギー,125,,
219,,,なくす,24.0,財源,124,,
220,,,及ぶ,24.0,規制,124,,
221,,,亡くなる,24.0,当時,123,,
222,,,高まる,24.0,国際法,122,,
223,,,覆す,24.0,原則,121,,
224,,,問う,23.0,行動,120,,
225,,,始まる,23.0,成果,119,,
226,,,回る,23.0,解釈,118,,
227,,,集まる,23.0,導入,118,,
228,,,取れる,23.0,意見,117,,
229,,,陥る,23.0,対象,117,,
230,,,委ねる,22.0,首脳会談,116,,
231,,,まとめる,22.0,安倍内閣,116,,
232,,,待つ,22.0,方針,115,,
233,,,引き下げる,22.0,地元,115,,
234,,,即す,22.0,先ほど,114,,
235,,,書き込む,22.0,提供,114,,
236,,,つくり上げる,22.0,一般,114,,
237,,,禁じる,22.0,人達,114,,
238,,,受け止める,22.0,経験,113,,
239,,,切る,21.0,明らか,112,,
240,,,動く,21.0,輸出,112,,
241,,,臨む,21.0,会議,111,,
242,,,縛る,21.0,マイナス,110,,
243,,,見える,21.0,日米同盟,110,,
244,,,望む,21.0,可能性,109,,
245,,,移る,21.0,提出,109,,
246,,,備える,21.0,訓練,109,,
247,,,越える,21.0,他方,108,,
248,,,集める,21.0,早期,108,,
249,,,苦しむ,21.0,安心,107,,
250,,,落ちる,21.0,加速,107,,
251,,,用いる,21.0,非常,106,,
252,,,なくなる,20.0,閣議決定,105,,
253,,,抱える,20.0,対処,105,,
254,,,かなう,20.0,内容,105,,
255,,,受けとめる,20.0,賃上げ,105,,
256,,,めぐる,20.0,東京,105,,
257,,,広がる,20.0,上昇,104,,
258,,,払う,20.0,全国,104,,
259,,,買う,20.0,趣旨,104,,
260,,,移す,20.0,期待,104,,
261,,,併せる,20.0,中国,104,,
262,,,鑑みる,20.0,対話,104,,
263,,,とれる,19.0,期間,103,,
264,,,遭う,19.0,外交,102,,
265,,,遂げる,19.0,省庁,101,,
266,,,申す,19.0,実行,101,,
267,,,添える,19.0,教育,101,,
268,,,話し合う,19.0,活躍,101,,
269,,,届ける,19.0,国際,100,,
270,,,語る,19.0,変化,100,,
271,,,掛ける,19.0,具体的,100,,
272,,,巻き込む,19.0,基準,99,,
273,,,減らす,18.0,間違い,99,,
274,,,通る,18.0,四月,99,,
275,,,解す,18.0,策定,99,,
276,,,込める,18.0,未来,99,,
277,,,抑える,18.0,人々,98,,
278,,,暮らす,18.0,一体,98,,
279,,,相次ぐ,18.0,発展,98,,
280,,,深まる,17.0,若者,98,,
281,,,見きわめる,17.0,トランプ大統領,98,,
282,,,損なう,17.0,自分,97,,
283,,,訪れる,17.0,これら,97,,
284,,,組み合わせる,17.0,GDP,96,,
285,,,成り立つ,17.0,技術,96,,
286,,,諦める,17.0,高齢者,96,,
287,,,立てる,17.0,次第,95,,
288,,,調べる,17.0,評価,95,,
289,,,起こす,17.0,構築,95,,
290,,,打ち出す,16.0,軽減,95,,
291,,,回す,16.0,武力攻撃,95,,
292,,,よる,16.0,自体,94,,
293,,,誓う,16.0,以降,94,,
294,,,過ぎる,16.0,任務,94,,
295,,,下げる,16.0,消費,93,,
296,,,学ぶ,16.0,批判,93,,
297,,,捉える,16.0,場所,93,,
298,,,招く,16.0,地方創生,93,,
299,,,反する,16.0,初め,92,,
300,,,直す,15.0,紹介,92,,
301,,,要する,15.0,子供,92,,
302,,,触れる,15.0,国内,92,,
303,,,覚える,15.0,今般,92,,
304,,,取り上げる,15.0,労働,92,,
305,,,撃ち落とす,15.0,収益,92,,
306,,,生む,15.0,小規模,92,,
307,,,取り除く,15.0,防衛,92,,
308,,,占める,14.0,促進,91,,
309,,,見守る,14.0,現場,91,,
310,,,乗る,14.0,提案,90,,
311,,,育てる,14.0,分析,90,,
312,,,帰る,14.0,多様,90,,
313,,,残す,14.0,拍手,90,,
314,,,離れる,14.0,三本の矢,89,,
315,,,付す,14.0,減少,89,,
316,,,囲む,14.0,連続,89,,
317,,,断ち切る,14.0,暮らし,88,,
318,,,はめる,14.0,消費税率,88,,
319,,,埋める,14.0,政治,88,,
320,,,運ぶ,13.0,一部,87,,
321,,,いらっしゃる,13.0,困難,87,,
322,,,飛ぶ,13.0,発揮,87,,
323,,,お目にかかる,13.0,民主党政権,86,,
324,,,積む,13.0,調整,86,,
325,,,賄う,13.0,最大限,86,,
326,,,絞る,13.0,他国,86,,
327,,,働きかける,13.0,武力,86,,
328,,,驚く,13.0,中心,85,,
329,,,起きる,13.0,現実,85,,
330,,,就く,13.0,本年,85,,
331,,,願う,12.0,補正予算,85,,
332,,,引く,12.0,ぶり,85,,
333,,,向き合う,12.0,福島,85,,
334,,,生きる,12.0,被災地,85,,
335,,,戻れる,12.0,開催,84,,
336,,,誇る,12.0,行為,84,,
337,,,慎む,12.0,総理大臣,84,,
338,,,正す,12.0,機会,84,,
339,,,行える,12.0,処遇,84,,
340,,,推し進める,12.0,審議,83,,
341,,,足す,11.0,災害,83,,
342,,,照らす,11.0,建設,83,,
343,,,背負う,11.0,非正規,83,,
344,,,改める,11.0,戦略,82,,
345,,,結びつける,11.0,限り,82,,
346,,,通う,11.0,攻撃,82,,
347,,,たつ,11.0,PKO,82,,
348,,,襲う,11.0,子育て,82,,
349,,,込む,11.0,何回,81,,
350,,,もらえる,11.0,成立,81,,
351,,,食べる,11.0,アジア太平洋地域,81,,
352,,,思い切る,11.0,景気,81,,
353,,,困る,11.0,従来,81,,
354,,,尽きる,11.0,財政健全化,80,,
355,,,撃つ,11.0,締結,80,,
356,,,課す,11.0,委員長,80,,
357,,,奪う,11.0,産業,80,,
358,,,貫く,11.0,被害,80,,
359,,,とめる,11.0,集中,80,,
360,,,受け取る,11.0,共有,80,,
361,,,詰める,10.0,引上げ,80,,
362,,,引き出す,10.0,示し,79,,
363,,,助ける,10.0,団体,79,,
364,,,講ずる,10.0,づくり,79,,
365,,,強いる,10.0,生産,79,,
366,,,分かつ,10.0,自治体,79,,
367,,,割く,10.0,テロ,79,,
368,,,位置づける,10.0,大統領,79,,
369,,,近づく,10.0,最初,78,,
370,,,積み上げる,10.0,利益,77,,
371,,,なれる,10.0,デフレ脱却,77,,
372,,,組む,10.0,個人,77,,
373,,,あらわす,10.0,沖縄,77,,
374,,,伸ばす,10.0,人口,76,,
375,,,達す,10.0,国益,76,,
376,,,支払う,10.0,設置,76,,
377,,,流す,10.0,協議,76,,
378,,,働ける,10.0,言葉,76,,
379,,,信じる,10.0,生命,76,,
380,,,助け合う,10.0,法制,76,,
381,,,きめる,10.0,各党,75,,
382,,,排す,10.0,米軍,75,,
383,,,切れる,10.0,展開,75,,
384,,,立ち向かう,10.0,達成,75,,
385,,,すぎる,10.0,継続,75,,
386,,,かなえる,10.0,国々,75,,
387,,,刻む,10.0,権利,75,,
388,,,頼る,9.0,徹底,74,,
389,,,突っ込む,9.0,あり方,74,,
390,,,侵す,9.0,枠組み,74,,
391,,,解く,9.0,価格,74,,
392,,,眠る,9.0,開発,74,,
393,,,引っ張る,9.0,委員会,73,,
394,,,及ぼす,9.0,発信,73,,
395,,,かわる,9.0,税制,73,,
396,,,欠く,9.0,主導,73,,
397,,,見せる,9.0,実質,73,,
398,,,闘う,9.0,民間,73,,
399,,,傷つける,9.0,改定,72,,
400,,,扱う,9.0,日本銀行,72,,
401,,,あおる,9.0,姿勢,72,,
402,,,掛かる,9.0,信頼,72,,
403,,,抱き締める,9.0,平和条約,72,,
404,,,育つ,9.0,報告,71,,
405,,,位置付ける,9.0,市場,71,,
406,,,導く,9.0,万全,71,,
407,,,優れる,9.0,収入,71,,
408,,,立ち止まる,9.0,部隊,71,,
409,,,しゃべる,9.0,抑止力,71,,
410,,,乗り越える,9.0,みずから,70,,
411,,,強める,9.0,一人,70,,
412,,,使える,9.0,事案,70,,
413,,,当てはめる,9.0,お互い,70,,
414,,,やり遂げる,9.0,相手,70,,
415,,,見出す,9.0,ども,70,,
416,,,明け暮れる,9.0,国家,70,,
417,,,断る,9.0,創設,70,,
418,,,またがる,8.0,危険,70,,
419,,,先立つ,8.0,返還,70,,
420,,,すぐれる,8.0,限度,70,,
421,,,たっとぶ,8.0,丁寧,69,,
422,,,終える,8.0,予定,69,,
423,,,外れる,8.0,緊密,69,,
424,,,表する,8.0,総理,69,,
425,,,取り入れる,8.0,ミサイル,69,,
426,,,返す,8.0,正社員,69,,
427,,,産む,8.0,変更,68,,
428,,,こびりつく,8.0,要請,68,,
429,,,描く,8.0,子供達,68,,
430,,,飛ばす,8.0,各国,68,,
431,,,ねじ曲げる,8.0,最大,68,,
432,,,流れる,8.0,雇用者,68,,
433,,,確かめる,8.0,派遣労働者,68,,
434,,,呼びかける,8.0,野党,67,,
435,,,選べる,8.0,存在,67,,
436,,,とまる,8.0,直接,67,,
437,,,申し述べる,8.0,成長戦略,67,,
438,,,凝らす,8.0,一番,67,,
439,,,携える,8.0,一致,67,,
440,,,思い出す,8.0,家庭,67,,
441,,,見極める,8.0,共同,67,,
442,,,揺るがす,8.0,移設,67,,
443,,,かねる,8.0,結論,66,,
444,,,耐える,8.0,戦闘,66,,
445,,,整う,7.0,防災,66,,
446,,,取り込む,7.0,ニーズ,66,,
447,,,行き交う,7.0,保育,66,,
448,,,培う,7.0,患者,66,,
449,,,分ける,7.0,安保法制懇,65,,
450,,,出せる,7.0,意思,65,,
451,,,発する,7.0,慎重,65,,
452,,,落ち込む,7.0,手続,65,,
453,,,従う,7.0,基盤,65,,
454,,,下す,7.0,戦後,65,,
455,,,行き渡る,7.0,協定,65,,
456,,,さらす,7.0,施設,65,,
457,,,参る,7.0,名目,65,,
458,,,当てる,7.0,Abenomics,65,,
459,,,つくれる,7.0,平和安全法制,65,,
460,,,殺す,7.0,検証,64,,
461,,,立ちすくむ,7.0,憲法改正,64,,
462,,,義務付ける,7.0,世代,64,,
463,,,開ける,7.0,以外,64,,
464,,,誤る,7.0,原発,64,,
465,,,思える,7.0,指示,64,,
466,,,疑う,7.0,外国,64,,
467,,,聞こえる,7.0,拡充,64,,
468,,,返る,7.0,基地,64,,
469,,,抱く,7.0,後方支援,64,,
470,,,先駆ける,7.0,活性化,63,,
471,,,存じ上げる,7.0,思い,63,,
472,,,報う,7.0,避難,63,,
473,,,逃げる,7.0,積極,63,,
474,,,止まる,7.0,首脳,63,,
475,,,抜く,7.0,生産性,62,,
476,,,反す,7.0,供給,62,,
477,,,削る,6.0,万人,62,,
478,,,成る,6.0,主張,62,,
479,,,たがえる,6.0,働き方改革,62,,
480,,,ぶつかる,6.0,訪問,61,,
481,,,迫る,6.0,みんな,61,,
482,,,足りる,6.0,弾道ミサイル,61,,
483,,,預かる,6.0,確実,61,,
484,,,愛する,6.0,規定,60,,
485,,,雇う,6.0,抑制,60,,
486,,,戻す,6.0,方向,60,,
487,,,渡す,6.0,豊か,60,,
488,,,犯す,6.0,ほか,60,,
489,,,押しつける,6.0,関連,60,,
490,,,磨く,6.0,回復,60,,
491,,,つまる,6.0,世帯,60,,
492,,,決めつける,6.0,指定,60,,
493,,,届く,6.0,行政,60,,
494,,,尊ぶ,6.0,最小,60,,
495,,,褒める,6.0,研究,59,,
496,,,撮る,6.0,条件,59,,
497,,,納める,6.0,準備,59,,
498,,,つかむ,6.0,給与,59,,
499,,,下回る,6.0,六月,59,,
500,,,絶つ,6.0,アメリカ,59,,
501,,,外す,6.0,負担軽減,59,,
502,,,成し遂げる,6.0,配慮,58,,
503,,,携わる,6.0,両国,58,,
504,,,忘れる,6.0,持続,58,,
505,,,とらわれる,6.0,適用,58,,
506,,,達する,6.0,そのもの,58,,
507,,,行き過ぎる,6.0,パラリンピック,58,,
508,,,逃れる,6.0,戦争,58,,
509,,,取り締まる,6.0,会談,58,,
510,,,取り扱う,6.0,情勢,58,,
511,,,挑む,6.0,経営,58,,
512,,,こうむる,6.0,大胆,58,,
513,,,売り込む,6.0,たくさん,58,,
514,,,張る,5.0,コメント,57,,
515,,,似る,5.0,把握,57,,
516,,,降る,5.0,活力,57,,
517,,,縮む,5.0,健康,57,,
518,,,値する,5.0,プーチン大統領,57,,
519,,,きく,5.0,労働者,57,,
520,,,固まる,5.0,完全,57,,
521,,,狙う,5.0,概念,57,,
522,,,取り消す,5.0,チャンス,57,,
523,,,伝わる,5.0,正規,57,,
524,,,きかせる,5.0,再就職,57,,
525,,,頼む,5.0,会派,56,,
526,,,見越す,5.0,意欲,56,,
527,,,来す,5.0,実態,56,,
528,,,つけ加える,5.0,迅速,56,,
529,,,そろう,5.0,権限,56,,
530,,,争う,5.0,経済の好循環,56,,
531,,,科す,5.0,大切なこと,55,,
532,,,心がける,5.0,内閣,55,,
533,,,売る,5.0,政治家,55,,
534,,,出かける,5.0,選挙,55,,
535,,,はおる,5.0,整理,55,,
536,,,住み慣れる,5.0,中小,55,,
537,,,発す,5.0,お願い,55,,
538,,,秘める,5.0,組織,55,,
539,,,売れる,5.0,不可欠,55,,
540,,,差し伸べる,5.0,普天間,55,,
541,,,果たせる,5.0,ガイドライン,55,,
542,,,顧みる,5.0,法制局,54,,
543,,,乗せる,5.0,民主主義,54,,
544,,,営む,5.0,コスト,54,,
545,,,踏み出す,5.0,献金,54,,
546,,,出会う,5.0,七月,54,,
547,,,割る,5.0,稼働,54,,
548,,,まつ,5.0,事情,54,,
549,,,名づける,5.0,レベル,54,,
550,,,探す,5.0,積極的,54,,
551,,,したう,5.0,経済成長,54,,
552,,,恐れる,5.0,武器,54,,
553,,,おりる,5.0,憲法上,54,,
554,,,導き出す,5.0,公正,54,,
555,,,載せる,5.0,業務,54,,
556,,,暮らせる,5.0,拉致問題,54,,
557,,,交える,5.0,バランス,53,,
558,,,揺るぐ,5.0,復旧,53,,
559,,,踏む,4.0,経営者,53,,
560,,,通す,4.0,国連,53,,
561,,,生かせる,4.0,韓国,53,,
562,,,送れる,4.0,安全性,53,,
563,,,見詰める,4.0,一日,53,,
564,,,寄せる,4.0,在り方,53,,
565,,,押し下げる,4.0,難民,53,,
566,,,要す,4.0,法人税,52,,
567,,,呼びつける,4.0,うち,52,,
568,,,振り向ける,4.0,移転,52,,
569,,,あける,4.0,個別的自衛権,52,,
570,,,追い込む,4.0,自国,52,,
571,,,浴びる,4.0,先生,52,,
572,,,なさる,4.0,保険料,52,,
573,,,妨げる,4.0,為替,52,,
574,,,追う,4.0,是正,51,,
575,,,振れる,4.0,削減,51,,
576,,,養う,4.0,事実上,51,,
577,,,わたる,4.0,中身,51,,
578,,,富む,4.0,法人,51,,
579,,,救う,4.0,両立,51,,
580,,,まとまる,4.0,密接,51,,
581,,,結び付く,4.0,ロシア,51,,
582,,,辞める,4.0,反映,51,,
583,,,勝ち抜く,4.0,実質賃金,51,,
584,,,ゆがめる,4.0,有効求人倍率,51,,
585,,,接す,4.0,ことし,51,,
586,,,守れる,4.0,東北,51,,
587,,,動かす,4.0,想定,51,,
588,,,競い合う,4.0,最終的,50,,
589,,,耕す,4.0,解消,50,,
590,,,則す,4.0,選択,50,,
591,,,かみしめる,4.0,税率,50,,
592,,,教える,4.0,重点,50,,
593,,,課する,4.0,いろいろ,50,,
594,,,命ずる,4.0,景気回復,50,,
595,,,生まれ変わる,4.0,キャリアアップ,50,,
596,,,走る,4.0,日本人,50,,
597,,,押し上げる,4.0,作成,50,,
598,,,突き破る,4.0,使用,50,,
599,,,黙る,4.0,派兵,50,,
600,,,覆う,4.0,戦闘行為,50,,
601,,,偏る,4.0,現状,49,,
602,,,閉める,4.0,平均,49,,
603,,,命じる,4.0,真摯,49,,
604,,,おくれる,4.0,輸入,49,,
605,,,付く,4.0,当初,49,,
606,,,止める,4.0,被災者,49,,
607,,,傷つく,4.0,代表,49,,
608,,,取りかかる,4.0,大幅,49,,
609,,,長引く,4.0,パート,49,,
610,,,とどめる,4.0,実感,49,,
611,,,落ちつく,4.0,領土,49,,
612,,,余る,4.0,彼ら,49,,
613,,,揺らぐ,4.0,政権交代,49,,
614,,,痛む,4.0,交流,49,,
615,,,役立つ,4.0,辺野古,49,,
616,,,立ち戻る,4.0,機雷,49,,
617,,,そろえる,4.0,義務,48,,
618,,,立ち直る,4.0,編成,48,,
619,,,加わる,4.0,政党,48,,
620,,,考え直す,4.0,共通,48,,
621,,,差し引く,4.0,規模,48,,
622,,,出し合う,4.0,共同声明,48,,
623,,,滞る,4.0,警察,48,,
624,,,うる,4.0,過去,48,,
625,,,要る,4.0,意義,48,,
626,,,受け取れる,4.0,来年,48,,
627,,,だます,4.0,日ロ,48,,
628,,,下ろす,4.0,発射,48,,
629,,,体する,4.0,ゼロ,48,,
630,,,泳ぐ,4.0,繰り返し,47,,
631,,,崩れる,4.0,要望,47,,
632,,,引き受ける,4.0,防止,47,,
633,,,なえる,3.0,循環,47,,
