,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,
78,忙しい,2,続く,49,安全,129,,,,
79,目覚ましい,1,加える,48,協力,129,,,,
80,余儀ない,1,高める,48,行使,129,,,,
81,逞しい,1,もらう,47,皆様,129,,,,
82,やさしい,1,伴う,47,いずれ,127,,,,
83,たくましい,1,重ねる,47,全体,127,,,,
84,優しい,1,知る,47,平成,126,,,,
85,ばかばかしい,1,取りまとめる,44,賃金,125,,,,
86,数少ない,1,頑張る,44,お答え,125,,,,
87,申し訳ない,1,脅かす,43,生活,124,,,,
88,みずみずしい,1,置く,43,次第,123,,,,
89,怖い,1,答える,42,事態,122,,,,
90,暗い,1,しれる,42,参加,121,,,,
91,若々しい,1,伺う,42,意味,118,,,,
92,憎たらしい,1,とどまる,42,全力,118,,,,
93,間近い,1,差し控える,41,大切,117,,,,
94,速い,1,広がる,41,昨年,117,,,,
95,底堅い,1,定める,41,国内,117,,,,
96,うれしい,1,担う,41,自由貿易,117,,,,
97,緩い,1,見直す,40,憲法,117,,,,
98,濃い,1,ふえる,40,雇用,116,,,,
99,はかばかしい,1,取り巻く,40,努力,116,,,,
100,太い,1,満たす,40,国際社会,115,,,,
101,はかない,1,のっとる,40,意見,114,,,,
102,づらい,1,関わる,39,取組,113,,,,
103,意義深い,1,沿う,39,海外,112,,,,
104,喜ばしい,1,経る,39,役割,111,,,,
105,つつがない,1,分かる,38,基本,111,,,,
106,,,設ける,38,年金,111,,,,
107,,,及ぶ,37,再生,111,,,,
108,,,期す,37,与党,110,,,,
109,,,もつ,36,目標,109,,,,
110,,,つくり出す,36,具体,108,,,,
111,,,促す,36,立場,108,,,,
112,,,通じる,36,発生,108,,,,
113,,,訴える,35,維持,107,,,,
114,,,応える,34,分野,106,,,,
115,,,書く,34,中小企業,105,,,,
116,,,生み出す,34,社会保障,105,,,,
117,,,合わせる,34,復興,105,,,,
118,,,合う,33,国々,103,,,,
119,,,わかる,33,農業,102,,,,
120,,,係る,33,年間,102,,,,
121,,,深める,32,予算,101,,,,
122,,,繰り返す,32,審議,101,,,,
123,,,生じる,32,委員会,101,,,,
124,,,許す,31,見直し,100,,,,
125,,,受けとめる,31,基本的,99,,,,
126,,,比べる,31,影響,98,,,,
127,,,覆す,30,能力,98,,,,
128,,,減る,30,安倍内閣,96,,,,
129,,,言える,30,導入,96,,,,
130,,,もたらす,30,体制,96,,,,
131,,,受け止める,29,早期,95,,,,
132,,,資する,29,活用,94,,,,
133,,,呼ぶ,29,お話,93,,,,
134,,,生まれる,29,着実,92,,,,
135,,,あわせる,29,利益,92,,,,
136,,,守り抜く,29,将来,92,,,,
137,,,広げる,28,集団的自衛権,92,,,,
138,,,引き上げる,28,共有,92,,,,
139,,,盛り込む,28,段階,91,,,,
140,,,異なる,28,規制,91,,,,
141,,,待つ,27,調査,90,,,,
142,,,防ぐ,27,閣議決定,90,,,,
143,,,来る,27,投資,90,,,,
144,,,整える,26,構築,89,,,,
145,,,決まる,26,期待,89,,,,
146,,,なくなる,26,可能性,89,,,,
147,,,くれる,26,協議,89,,,,
148,,,掲げる,26,目的,89,,,,
149,,,控える,25,デフレ,89,,,,
150,,,くださる,25,締結,88,,,,
151,,,失う,25,会談,88,,,,
152,,,かなう,25,残念,88,,,,
153,,,高まる,24,提出,87,,,,
154,,,表す,24,武力攻撃,87,,,,
155,,,働きかける,24,外交,87,,,,
156,,,終わる,24,水準,86,,,,
157,,,伝える,24,所得,86,,,,
158,,,見込む,23,効果,85,,,,
159,,,なくす,23,輸出,84,,,,
160,,,乗り越える,23,日米同盟,84,,,,
161,,,会う,23,機能,83,,,,
162,,,迎える,22,総合,83,,,,
163,,,よる,22,明確,83,,,,
164,,,講ずる,22,他国,83,,,,
165,,,有する,22,犯罪,83,,,,
166,,,食い止める,21,岩場,83,,,,
167,,,残る,21,前提,82,,,,
168,,,みる,21,内容,82,,,,
169,,,即す,21,福島,82,,,,
170,,,攻める,20,当時,82,,,,
171,,,上回る,20,事業者,82,,,,
172,,,伸びる,20,政権,81,,,,
173,,,つくり上げる,20,対象,81,,,,
174,,,向かう,20,決定,80,,,,
175,,,増やす,20,充実,80,,,,
176,,,掛ける,19,チャンス,79,,,,
177,,,問う,19,向上,79,,,,
178,,,負う,19,エネルギー,79,,,,
179,,,越える,19,介護,78,,,,
180,,,かかる,19,確認,78,,,,
181,,,あふれる,19,行動,78,,,,
182,,,持てる,18,首脳,78,,,,
183,,,選ぶ,18,運用,77,,,,
184,,,寄り添う,18,条約,77,,,,
185,,,引き渡す,18,財政,77,,,,
186,,,深まる,18,国際,76,,,,
187,,,結ぶ,17,情報,76,,,,
188,,,築く,17,評価,76,,,,
189,,,めぐる,17,不安,76,,,,
190,,,届ける,16,行為,76,,,,
191,,,調べる,16,解決,76,,,,
192,,,充てる,16,各国,76,,,,
193,,,住む,16,関税,76,,,,
194,,,付ける,16,拍手,76,,,,
195,,,残す,16,合意,76,,,,
196,,,受け入れる,16,原発,75,,,,
197,,,傾ける,16,限り,75,,,,
198,,,見据える,15,経験,75,,,,
199,,,切る,15,決意,75,,,,
200,,,戻る,15,公正,74,,,,
201,,,感じる,15,大統領,74,,,,
202,,,願う,15,意義,74,,,,
203,,,切り開く,15,そのため,74,,,,
204,,,始まる,15,丁寧,73,,,,
205,,,届く,15,安倍政権,73,,,,
206,,,反する,15,調整,73,,,,
207,,,信じる,15,計画,73,,,,
208,,,捉える,15,秘密,72,,,,
209,,,望む,15,具体的,72,,,,
210,,,掛かる,15,手続,72,,,,
211,,,書き込む,15,方針,72,,,,
212,,,務める,15,GDP,72,,,,
213,,,済む,14,意思,71,,,,
214,,,抱える,14,首脳会談,71,,,,
215,,,鑑みる,14,国連,70,,,,
216,,,抑える,14,沖縄,70,,,,
217,,,備える,14,上昇,70,,,,
218,,,避ける,14,事業,70,,,,
219,,,かける,14,先般,70,,,,
220,,,動く,14,ふう,69,,,,
221,,,用いる,14,出端,69,,,,
222,,,成り立つ,14,貿易,69,,,,
223,,,送る,13,人々,69,,,,
224,,,見える,13,取り組み,68,,,,
225,,,起こす,13,成立,68,,,,
226,,,歩む,13,法律,68,,,,
227,,,位置付ける,13,提供,68,,,,
228,,,過ぎる,13,テロ,68,,,,
229,,,遂げる,13,解釈,68,,,,
230,,,禁じる,13,武力,68,,,,
231,,,移る,13,施策,68,,,,
232,,,買う,13,派遣,67,,,,
233,,,付く,13,発展,67,,,,
234,,,絞る,12,時代,66,,,,
235,,,輝く,12,仕事,66,,,,
236,,,ふやす,12,開催,65,,,,
237,,,引き下げる,12,消費税率,65,,,,
238,,,足す,12,賃上げ,65,,,,
239,,,有す,12,医療,65,,,,
240,,,集める,12,現場,64,,,,
241,,,回る,12,人材,64,,,,
242,,,読む,12,信頼,63,,,,
243,,,苦しむ,12,一致,63,,,,
244,,,亡くなる,12,先ほど,63,,,,
245,,,組み合わせる,12,国益,63,,,,
246,,,満ちる,12,報告,62,,,,
247,,,臨む,12,促進,62,,,,
248,,,離れる,12,最大限,62,,,,
249,,,訪れる,12,活躍,61,,,,
250,,,改める,12,明らか,61,,,,
251,,,転じる,12,法の支配,60,,,,
252,,,乗る,11,災害,60,,,,
253,,,集まる,11,原則,60,,,,
254,,,とれる,11,安心,60,,,,
255,,,下げる,11,対処,60,,,,
256,,,引き継ぐ,11,承認,60,,,,
257,,,揺らぐ,11,全国,60,,,,
258,,,向き合う,11,国家,59,,,,
259,,,思い切る,11,アジア太平洋地域,59,,,,
260,,,培う,11,機会,59,,,,
261,,,取り戻す,11,実行,59,,,,
262,,,切れる,11,技術,59,,,,
263,,,見極める,11,万全,59,,,,
264,,,忘れる,11,財源,58,,,,
265,,,据える,11,支持,58,,,,
266,,,先駆ける,11,本年,58,,,,
267,,,照らす,11,初め,57,,,,
268,,,撮る,10,危険,57,,,,
269,,,描く,10,トランプ次期大統領,57,,,,
270,,,やってくる,10,加速,57,,,,
271,,,込む,10,韓国,56,,,,
272,,,除く,10,貢献,56,,,,
273,,,妨げる,10,税収,56,,,,
274,,,従う,10,他方,56,,,,
275,,,陥る,10,仕組み,56,,,,
276,,,きめる,10,地元,56,,,,
277,,,囲む,10,一体,56,,,,
278,,,取れる,10,改正,56,,,,
279,,,積み重ねる,10,消費税,56,,,,
280,,,さらす,10,趣旨,55,,,,
281,,,落ちる,10,お互い,55,,,,
282,,,造る,10,世代,55,,,,
283,,,闘う,10,生産,55,,,,
284,,,お目にかかる,9,発揮,54,,,,
285,,,減らす,9,訪問,54,,,,
286,,,及ぼす,9,発信,54,,,,
287,,,受け取る,9,変化,54,,,,
288,,,損なう,9,全区,54,,,,
289,,,誓う,9,設置,54,,,,
290,,,語る,9,相手,54,,,,
291,,,要する,9,一般,54,,,,
292,,,支払う,9,創設,54,,,,
293,,,行える,9,要請,54,,,,
294,,,誇る,9,攻撃,54,,,,
295,,,話す,9,引き上げ,54,,,,
296,,,たつ,9,戦略,53,,,,
297,,,分かつ,9,生命,53,,,,
298,,,諦める,9,組織,53,,,,
299,,,取り除く,9,保護,53,,,,
300,,,貫く,9,姿勢,53,,,,
301,,,帰る,9,増加,53,,,,
302,,,間違う,9,経済の好循環,53,,,,
303,,,止める,9,サービス,53,,,,
304,,,見せる,9,戦後,53,,,,
305,,,打つ,9,提案,53,,,,
306,,,すぎる,8,給付,53,,,,
307,,,思い出す,8,国際法,53,,,,
308,,,引き出す,8,高齢者,53,,,,
309,,,驚く,8,在り方,52,,,,
310,,,とらわれる,8,自民党,52,,,,
311,,,積み上げる,8,積極,51,,,,
312,,,報う,8,分析,51,,,,
313,,,たっとぶ,8,防衛,51,,,,
314,,,任せる,8,アメリカ,51,,,,
315,,,取り込む,8,成果,51,,,,
316,,,起きる,8,使用,51,,,,
317,,,招く,8,準備,51,,,,
318,,,生きる,8,個別,51,,,,
319,,,眠る,8,価格,50,,,,
320,,,伸ばす,8,輸入,50,,,,
321,,,戻す,8,中心,50,,,,
322,,,踏み出す,8,テロ等準備罪,50,,,,
323,,,打ち出す,8,希望,50,,,,
324,,,見守る,8,非常,49,,,,
325,,,屈する,8,彼ら,49,,,,
326,,,取り入れる,8,労働,49,,,,
327,,,呼びかける,8,直接,49,,,,
328,,,巻き込む,8,開発,49,,,,
329,,,申し入れる,8,把握,49,,,,
330,,,考え抜く,8,緊密,49,,,,
331,,,回す,8,引上げ,49,,,,
332,,,ぶれる,8,始め,49,,,,
333,,,追いつく,7,範囲,49,,,,
334,,,とめる,7,権利,49,,,,
335,,,過ごす,7,武力行使,49,,,,
336,,,まとめる,7,達成,49,,,,
337,,,つかむ,7,消費,48,,,,
338,,,すぐれる,7,困難,48,,,,
339,,,申す,7,収益,48,,,,
340,,,出せる,7,今般,48,,,,
341,,,込める,7,真摯,48,,,,
342,,,つなぐ,7,消費者,48,,,,
343,,,削る,7,懸念,48,,,,
344,,,尊ぶ,7,政治,47,,,,
345,,,立てる,7,軽減,47,,,,
346,,,携える,7,小規模,47,,,,
347,,,移す,7,拡充,47,,,,
348,,,委ねる,7,従来,47,,,,
349,,,かねる,7,人口,47,,,,
350,,,刻む,7,発効,46,,,,
351,,,当てはまる,7,改定,46,,,,
352,,,当てはめる,7,追求,46,,,,
353,,,困る,7,トランプ大統領,46,,,,
354,,,突っ込む,7,人達,46,,,,
355,,,義務づける,7,紹介,45,,,,
356,,,触れる,7,あり方,45,,,,
357,,,払う,7,重要性,45,,,,
358,,,慎む,7,中身,45,,,,
359,,,賄う,7,一部,45,,,,
360,,,取り残す,6,教育,45,,,,
361,,,学ぶ,6,事案,45,,,,
362,,,もらえる,6,共同,45,,,,
363,,,なれる,6,未来,45,,,,
364,,,引く,6,以外,44,,,,
365,,,優れる,6,減少,44,,,,
366,,,生まれ変わる,6,万人,44,,,,
367,,,長引く,6,会議,44,,,,
368,,,占める,6,省庁,44,,,,
369,,,併せる,6,最初,44,,,,
370,,,交わす,6,指導,44,,,,
371,,,扱う,6,暮らし,44,,,,
372,,,成し遂げる,6,示し,44,,,,
373,,,つける,6,子供達,44,,,,
374,,,逃れる,6,防止,44,,,,
375,,,動き出す,6,法整備,44,,,,
376,,,振れる,6,市場,44,,,,
377,,,課する,6,やり取り,44,,,,
378,,,走る,6,活力,44,,,,
379,,,顧みる,6,内閣,43,,,,
380,,,準ずる,6,補正予算,43,,,,
381,,,解す,6,基地,43,,,,
382,,,保つ,6,徹底,43,,,,
383,,,握る,6,会合,43,,,,
384,,,犯す,6,変更,43,,,,
385,,,返す,6,過程,43,,,,
386,,,滞る,6,一番,43,,,,
387,,,押し上げる,6,民間,42,,,,
388,,,携わる,6,外国,42,,,,
389,,,下ろす,6,一年,42,,,,
390,,,揺るぐ,6,民主党政権,42,,,,
391,,,売る,5,情勢,42,,,,
392,,,立ち戻る,5,管理,42,,,,
393,,,参る,5,総理大臣,42,,,,
394,,,頼る,5,条件,42,,,,
395,,,付す,5,任務,42,,,,
396,,,寄せる,5,米軍,42,,,,
397,,,分ける,5,循環,42,,,,
398,,,遭う,5,脅威,42,,,,
399,,,罰する,5,策定,42,,,,
400,,,やじる,5,信頼関係,42,,,,
401,,,戦う,5,農業者,42,,,,
402,,,聞こえる,5,場所,42,,,,
403,,,まとまる,5,保護主義,42,,,,
404,,,行き交う,5,物価,42,,,,
405,,,存じ上げる,5,義務,41,,,,
406,,,戻れる,5,民主主義,41,,,,
407,,,育む,5,建設,41,,,,
408,,,疑う,5,憲法改正,41,,,,
409,,,話し合う,5,処罰,41,,,,
410,,,排す,5,供給,41,,,,
411,,,行き渡る,5,づくり,40,,,,
412,,,借りる,5,指定,40,,,,
413,,,説く,5,存在,40,,,,
414,,,乗せる,5,経営,40,,,,
415,,,押し切る,5,等々,40,,,,
416,,,落ち込む,5,豊か,40,,,,
417,,,挑む,5,弾道ミサイル,40,,,,
418,,,見つかる,5,批准,40,,,,
419,,,適す,5,不可欠,40,,,,
420,,,伝わる,5,法人,39,,,,
421,,,相次ぐ,5,日本人,39,,,,
422,,,渡る,5,移設,39,,,,
423,,,組む,5,お願い,39,,,,
424,,,でき上がる,5,自治体,39,,,,
425,,,放つ,5,枠組み,39,,,,
426,,,積む,5,根底,39,,,,
427,,,懸ける,5,整理,39,,,,
428,,,託す,5,圧力,39,,,,
429,,,かなえる,5,慎重,39,,,,
430,,,暮らす,5,農林水産業,39,,,,
431,,,推し進める,5,ミサイル,39,,,,
432,,,確かめる,5,会計検査院,39,,,,
433,,,成る,5,生産性,39,,,,
434,,,酌む,5,展開,38,,,,
435,,,生む,5,経済成長,38,,,,
436,,,立ち向かう,5,検証,38,,,,
437,,,崩れる,5,例外,38,,,,
438,,,かち取る,5,対話,38,,,,
439,,,課す,5,訓練,38,,,,
440,,,強いる,5,難病,38,,,,
441,,,とどめる,5,経済圏,38,,,,
442,,,取り組める,5,指示,38,,,,
443,,,振る舞う,5,避難,38,,,,
444,,,終える,5,か国,38,,,,
445,,,死ぬ,5,子供,38,,,,
446,,,なさる,5,現実,38,,,,
447,,,かみ合う,5,作業,38,,,,
448,,,効く,5,我が国の存立,38,,,,
449,,,返る,5,APEC,38,,,,
450,,,貸す,4,パラリンピック,38,,,,
451,,,食う,4,反映,37,,,,
452,,,足りる,4,処遇,37,,,,
453,,,まつ,4,総理,37,,,,
454,,,添える,4,被災地,37,,,,
455,,,縛る,4,被害,37,,,,
456,,,反す,4,相当,37,,,,
457,,,かわる,4,基盤,37,,,,
458,,,傷つける,4,基準,36,,,,
459,,,就く,4,独立,36,,,,
460,,,偏る,4,規定,36,,,,
461,,,覚える,4,抑止力,36,,,,
462,,,賜る,4,部隊,36,,,,
463,,,差し伸べる,4,動き,36,,,,
464,,,整う,4,若者,36,,,,
465,,,上る,4,レベル,36,,,,
466,,,食べる,4,二十一世紀,36,,,,
467,,,踏む,4,働きかけ,36,,,,
468,,,はおる,4,率直,36,,,,
469,,,かみしめる,4,同様,36,,,,
470,,,誤る,4,被災,36,,,,
471,,,下す,4,リスク,36,,,,
472,,,属する,4,明白,36,,,,
473,,,徹す,4,機雷,36,,,,
474,,,飛ぶ,4,子育て,36,,,,
475,,,尽きる,4,財政健全化,35,,,,
476,,,助ける,4,四月,35,,,,
477,,,通る,4,競争,35,,,,
478,,,導く,4,期間,35,,,,
479,,,いらっしゃる,4,限定,35,,,,
480,,,追い付く,4,適正,35,,,,
481,,,義務付ける,4,完全,35,,,,
482,,,落とす,4,地方創生,35,,,,
483,,,欠く,4,国会決議,35,,,,
484,,,絶つ,4,批判,35,,,,
485,,,運ぶ,4,依存,34,,,,
486,,,雇う,4,脱却,34,,,,
487,,,育つ,4,活性化,34,,,,
488,,,背負う,4,想定,34,,,,
489,,,害す,4,繁栄,34,,,,
490,,,実る,4,価値,34,,,,
491,,,落ち着く,4,戦略的,34,,,,
492,,,足る,4,移転,34,,,,
493,,,裏切る,4,絶対,34,,,,
494,,,抜ける,4,原子力,34,,,,
495,,,達す,3,実態,34,,,,
496,,,通す,3,利用,34,,,,
497,,,振り向ける,3,限度,34,,,,
498,,,張る,3,化学兵器,34,,,,
499,,,教える,3,制裁,34,,,,
500,,,倒れる,3,特別,34,,,,
501,,,重なる,3,持続,33,,,,
502,,,思える,3,普天間飛行場,33,,,,
503,,,秘める,3,結論,33,,,,
504,,,育てる,3,保険料,33,,,,
505,,,繰り越す,3,多様,33,,,,
506,,,たがえる,3,高位,33,,,,
507,,,洗い出す,3,インフラ,33,,,,
508,,,役立てる,3,主導,33,,,,
509,,,表する,3,職員,33,,,,
510,,,現れる,3,財務省,33,,,,
511,,,付する,3,二つ割り,33,,,,
512,,,働ける,3,一人,33,,,,
513,,,つくれる,3,事実上,32,,,,
514,,,抱き締める,3,日本経済,32,,,,
515,,,動かす,3,開始,32,,,,
516,,,位置づける,3,産業,32,,,,
517,,,使える,3,毎年,32,,,,
518,,,見舞う,3,転嫁,32,,,,
519,,,抱く,3,再生可能エネルギー,32,,,,
520,,,悩む,3,第一次,32,,,,
521,,,惜しむ,3,提言,32,,,,
522,,,加わる,3,団体,32,,,,
523,,,かえる,3,抑制,32,,,,
524,,,かち得る,3,程度,32,,,,
525,,,去る,3,自衛,32,,,,
526,,,導き出す,3,憲法上,32,,,,
527,,,堪える,3,幸福,32,,,,
528,,,黙る,3,名目,32,,,,
529,,,被る,3,大切なこと,32,,,,
530,,,止まる,3,選択,32,,,,
531,,,おくれる,3,選挙,31,,,,
532,,,分かれる,3,プラス,31,,,,
533,,,値する,3,要望,31,,,,
534,,,帰す,3,継続,31,,,,
535,,,閉じる,3,景気回復,31,,,,
536,,,助け合う,3,税制,31,,,,
537,,,達する,3,公表,31,,,,
538,,,見出す,3,審査,31,,,,
539,,,あおる,3,迅速,31,,,,
540,,,殺す,3,表明,31,,,,
541,,,命ずる,3,関連,31,,,,
542,,,逃げる,3,家族,31,,,,
543,,,座す,3,警察,31,,,,
544,,,急ぐ,3,オバマ大統領,31,,,,
545,,,当てる,3,平和安全法制,31,,,,
546,,,おりる,3,最大,31,,,,
547,,,向く,3,成長戦略,30,,,,
548,,,のせる,3,野党,30,,,,
549,,,買い入れる,3,障害,30,,,,
550,,,行ける,3,以来,30,,,,
551,,,来す,3,配慮,30,,,,
552,,,隠す,3,速やか,30,,,,
553,,,取り上げる,3,政労,30,,,,
554,,,たたく,3,勘案,30,,,,
555,,,利する,3,主張,30,,,,
556,,,解く,3,基本方針,30,,,,
557,,,付け入る,3,事故,30,,,,
558,,,揺るがす,3,極め手,30,,,,
559,,,防げる,3,イノベーション,30,,,,
560,,,科す,2,資料,30,,,,
561,,,要る,2,戦争,30,,,,
562,,,勝ち抜く,2,概念,30,,,,
563,,,磨く,2,大企業,30,,,,
564,,,配る,2,国務大臣,30,,,,
565,,,持ち込む,2,行政,30,,,,
566,,,受け継ぐ,2,同意,30,,,,
567,,,率いる,2,品目,30,,,,
568,,,祈る,2,人口減少,30,,,,
569,,,割れる,2,最小,30,,,,
570,,,守れる,2,拉致被害者,30,,,,
571,,,勝つ,2,全う,30,,,,
572,,,ぶつかる,2,賛成,30,,,,
573,,,産む,2,施設,30,,,,
574,,,おそれる,2,アジア,29,,,,
575,,,踏み外す,2,歳出,29,,,,
576,,,住み慣れる,2,監視,29,,,,
577,,,ほかなる,2,PKO,29,,,,
578,,,楽しむ,2,負担軽減,29,,,,
579,,,作れる,2,医療費,29,,,,
580,,,図れる,2,不断,29,,,,
581,,,見出せる,2,深刻,29,,,,
582,,,振り返る,2,間違い,29,,,,
583,,,遅れる,2,需要,29,,,,
584,,,投げ込む,2,一日,29,,,,
585,,,盛り上がる,2,残余,29,,,,
586,,,迫る,2,登壇,29,,,,
587,,,ためる,2,意欲,29,,,,
588,,,潜る,2,自ら,29,,,,
589,,,あらわれる,2,アフリカ,29,,,,
590,,,脱す,2,撤廃,29,,,,
591,,,掘り起こす,2,削減,29,,,,
592,,,ばらまく,2,大胆,28,,,,
593,,,見きわめる,2,誤解,28,,,,
594,,,論ずる,2,Osprey,28,,,,
595,,,打ち捨てる,2,作成,28,,,,
596,,,芽吹く,2,設備投資,28,,,,
597,,,沸く,2,格差,28,,,,
598,,,かさむ,2,何回,28,,,,
599,,,広まる,2,再就職,28,,,,
600,,,突き破る,2,簡単,28,,,,
601,,,飛び込む,2,そのもの,28,,,,
602,,,駆け回る,2,思い,28,,,,
603,,,乗り出す,2,三本の矢,28,,,,
604,,,選べる,2,危険性,28,,,,
605,,,羽ばたける,2,被災者,28,,,,
606,,,洗う,2,除去,28,,,,
607,,,拭き取る,2,大綱,28,,,,
608,,,挟む,2,比較,28,,,,
609,,,包む,2,決め,28,,,,
610,,,出かける,2,EU,28,,,,
611,,,羽ばたく,2,捜査,28,,,,
612,,,果たせる,2,国会議員,28,,,,
613,,,耐える,2,東京,27,,,,
614,,,承る,2,積極的平和主義,27,,,,
615,,,飛び越える,2,強力,27,,,,
616,,,差し迫る,2,発足,27,,,,
617,,,指す,2,特定秘密保護法,27,,,,
618,,,裏付ける,2,詳細,27,,,,
619,,,対す,2,返還,27,,,,
620,,,狭まる,2,一丸,27,,,,
621,,,構う,2,基礎年金,27,,,,
622,,,埋める,2,法的,27,,,,
623,,,はめる,2,後押し,27,,,,
624,,,またがる,2,言葉,27,,,,
625,,,切り捨てる,2,運営,27,,,,
626,,,売り込む,2,敬意,27,,,,
627,,,結び付く,2,人事,27,,,,
628,,,奪う,2,獲得,27,,,,
629,,,やり遂げる,2,反対,27,,,,
630,,,省く,2,周辺,27,,,,
631,,,跳ね返る,2,決算,27,,,,
632,,,引っ張る,2,きずな,27,,,,
633,,,赴く,2,密接,27,,,,
634,,,並ぶ,2,売却,27,,,,
635,,,はまる,2,日中韓,27,,,,
636,,,浴びる,2,自由民主党,27,,,,
637,,,余る,2,少子高齢化,26,,,,
638,,,頼む,2,ゼロ,26,,,,
639,,,見逃す,2,キャリアアップ,26,,,,
640,,,見定める,2,機関,26,,,,
641,,,代わる,2,東京オリンピック,26,,,,
642,,,付け加える,2,黒字化,26,,,,
643,,,先立つ,2,デフレ脱却,26,,,,
644,,,形作る,2,視点,26,,,,
645,,,生かせる,2,共通,26,,,,
646,,,ついて行く,2,施行,26,,,,
647,,,開ける,2,労働者,26,,,,
648,,,恐れる,2,安全性,26,,,,
649,,,くじく,2,家庭,26,,,,
650,,,飛ばす,2,効率化,26,,,,
651,,,発する,2,平均,26,,,,
652,,,通れる,2,コメント,26,,,,
653,,,唱える,2,規模,26,,,,
654,,,相入れる,2,委員長,26,,,,
655,,,盗む,2,農家,26,,,,
656,,,収める,2,予定,26,,,,
657,,,遡る,2,見解,26,,,,
658,,,致す,2,保有,26,,,,
659,,,崩す,2,発射,26,,,,
660,,,閉ざす,2,新三,26,,,,
