,adj_cnt,adj_word,verb_cnt,verb_word,noun_cnt,noun_word,conjuction_cnt,conjuction_word
145,,,6.0,きめる,24,防衛,,
146,,,6.0,とどまる,24,難病,,
147,,,6.0,切り開く,24,小規模,,
148,,,6.0,生まれ変わる,24,循環,,
149,,,6.0,踏み出す,24,実行,,
150,,,6.0,打ち出す,24,活躍,,
151,,,6.0,かなう,23,政治,,
152,,,6.0,貫く,23,貢献,,
153,,,5.0,使う,23,税収,,
154,,,5.0,引き出す,23,会議,,
155,,,5.0,描く,23,あり方,,
156,,,5.0,取る,23,全国,,
157,,,5.0,切る,23,理解,,
158,,,5.0,受けとめる,23,憲法,,
159,,,5.0,ふやす,23,財源,,
160,,,5.0,とらわれる,23,限り,,
161,,,5.0,資する,23,促進,,
162,,,5.0,めぐる,23,戦後,,
163,,,5.0,乗り越える,23,教育,,
164,,,5.0,鑑みる,23,創設,,
165,,,5.0,満たす,22,効果,,
166,,,5.0,見える,22,最大限,,
167,,,5.0,ござる,22,維持,,
168,,,5.0,繰り返す,22,開催,,
169,,,5.0,報う,22,積極的平和主義,,
170,,,5.0,生じる,22,基礎的財政収支,,
171,,,5.0,罰する,22,考え方,,
172,,,5.0,表す,22,労働,,
173,,,5.0,揺らぐ,22,管理,,
174,,,5.0,越える,22,立場,,
175,,,5.0,付ける,22,設置,,
176,,,5.0,関わる,22,期待,,
177,,,5.0,生まれる,22,提出,,
178,,,5.0,受け入れる,21,能力,,
179,,,5.0,支払う,21,成立,,
180,,,5.0,行える,21,労使,,
181,,,5.0,受け止める,21,解決,,
182,,,5.0,疑う,21,改正,,
183,,,5.0,見据える,20,決意,,
184,,,4.0,思い出す,20,自民党,,
185,,,4.0,集まる,20,大切,,
186,,,4.0,させる,20,キャリアアップ,,
187,,,4.0,立ち戻る,20,訪問,,
188,,,4.0,入る,20,外交,,
189,,,4.0,限る,20,特定秘密,,
190,,,4.0,分ける,20,事故,,
191,,,4.0,しれる,20,協議,,
192,,,4.0,なれる,20,建設,,
193,,,4.0,戻る,20,調整,,
194,,,4.0,書く,19,海外,,
195,,,4.0,除く,19,四月,,
196,,,4.0,集める,19,経済成長,,
197,,,4.0,なくなる,19,機能,,
198,,,4.0,もらう,19,適正,,
199,,,4.0,開く,19,軽減,,
200,,,4.0,会う,19,お答え,,
201,,,4.0,戦う,19,非正規雇用,,
202,,,4.0,及ぶ,19,学校,,
203,,,4.0,備える,18,人材,,
204,,,4.0,分かる,18,成長戦略,,
205,,,4.0,組み合わせる,18,特別,,
206,,,4.0,働きかける,18,計画,,
207,,,4.0,残す,18,内閣,,
208,,,4.0,切れる,18,課税,,
209,,,4.0,即す,18,日本経済,,
210,,,4.0,持てる,18,指定,,
211,,,4.0,囲む,18,共有,,
212,,,4.0,避ける,18,役割,,
213,,,4.0,取れる,18,丁寧,,
214,,,4.0,始まる,18,水準,,
215,,,4.0,掲げる,18,サービス,,
216,,,4.0,見守る,18,経験,,
217,,,4.0,脅かす,18,若者,,
218,,,4.0,忘れる,18,帰還,,
219,,,4.0,乗せる,18,災害,,
220,,,4.0,つける,17,発揮,,
221,,,4.0,捉える,17,来年度,,
222,,,4.0,諦める,17,首脳,,
223,,,4.0,押し切る,17,国際社会,,
224,,,4.0,動き出す,17,歩み,,
225,,,4.0,踏む,17,持続,,
226,,,4.0,渡る,17,施策,,
227,,,3.0,とめる,17,活性化,,
228,,,3.0,輝く,17,医療,,
229,,,3.0,決まる,17,速やか,,
230,,,3.0,もらえる,17,将来,,
231,,,3.0,みる,17,個別,,
232,,,3.0,引き下げる,17,真摯,,
233,,,3.0,答える,17,年金,,
234,,,3.0,受け取る,17,いずれ,,
235,,,3.0,すぐれる,17,税制,,
236,,,3.0,寄せる,17,在り方,,
237,,,3.0,抑える,17,策定,,
238,,,3.0,住む,17,昨年末,,
239,,,3.0,感じる,17,農地,,
240,,,3.0,しまう,16,大変,,
241,,,3.0,来る,16,依存,,
242,,,3.0,任せる,16,大胆,,
243,,,3.0,傷つける,16,戦略,,
244,,,3.0,許す,16,総理大臣,,
245,,,3.0,つなぐ,16,仕組み,,
246,,,3.0,向かう,16,普天間飛行場,,
247,,,3.0,呼ぶ,16,地元,,
248,,,3.0,行き交う,16,廃止,,
249,,,3.0,起きる,16,共通認識,,
250,,,3.0,亡くなる,16,エネルギー政策,,
251,,,3.0,陥る,16,徹底,,
252,,,3.0,思い切る,16,イノベーション,,
253,,,3.0,思える,16,次第,,
254,,,3.0,語る,16,事態,,
255,,,3.0,秘める,16,住宅,,
256,,,3.0,育む,16,子供達,,
257,,,3.0,伸ばす,16,行動,,
258,,,3.0,要する,16,インフラ,,
259,,,3.0,長引く,16,安心,,
260,,,3.0,差し控える,15,自由民主党,,
261,,,3.0,たがえる,15,生産,,
262,,,3.0,尊ぶ,15,国会議員,,
263,,,3.0,結ぶ,15,万人,,
264,,,3.0,遂げる,15,民間,,
265,,,3.0,携える,15,東京オリンピック,,
266,,,3.0,洗い出す,15,東京,,
267,,,3.0,届く,15,両面,,
268,,,3.0,行き渡る,15,デフレ,,
269,,,3.0,付する,15,拠点,,
270,,,3.0,広げる,15,日本人,,
271,,,3.0,かねる,15,施行,,
272,,,3.0,働ける,15,姿勢,,
273,,,3.0,つくれる,15,プラン,,
274,,,3.0,転じる,15,機会,,
275,,,3.0,差し伸べる,15,把握,,
276,,,3.0,抱き締める,15,集団的自衛権,,
277,,,3.0,使える,15,安全保障の法的基盤の再構築に関する懇談会,,
278,,,3.0,増える,15,第一次,,
279,,,3.0,積み重ねる,15,始め,,
280,,,2.0,減る,15,自信,,
281,,,2.0,足りる,14,子育て,,
282,,,2.0,まとめる,14,不可欠,,
283,,,2.0,やってくる,14,先般,,
284,,,2.0,抱える,14,障害,,
285,,,2.0,勝ち抜く,14,基盤,,
286,,,2.0,付す,14,首脳会談,,
287,,,2.0,防ぐ,14,強力,,
288,,,2.0,調べる,14,デフレ脱却,,
289,,,2.0,足す,14,考え,,
290,,,2.0,込む,14,共通,,
291,,,2.0,申す,14,独立,,
292,,,2.0,磨く,14,総合,,
293,,,2.0,妨げる,14,指導,,
294,,,2.0,持ち込む,14,万全,,
295,,,2.0,負う,14,介護,,
296,,,2.0,もつ,14,当時,,
297,,,2.0,率いる,14,参拝,,
298,,,2.0,かわる,14,お願い,,
299,,,2.0,あり,14,提言,,
300,,,2.0,倒れる,14,移転,,
301,,,2.0,引く,14,農業,,
302,,,2.0,聞こえる,14,被災地,,
303,,,2.0,まとまる,14,原子力,,
304,,,2.0,割れる,14,ふるさと,,
305,,,2.0,かかる,14,規模,,
306,,,2.0,取り込む,13,GDP,,
307,,,2.0,合う,13,第三者機関,,
308,,,2.0,戻れる,13,外国,,
309,,,2.0,招く,13,アジア,,
310,,,2.0,過ぎる,13,対象,,
311,,,2.0,産む,13,補正予算,,
312,,,2.0,育てる,13,回復,,
313,,,2.0,伝える,13,規制改革,,
314,,,2.0,見極める,13,投資,,
315,,,2.0,臨む,13,消費,,
316,,,2.0,踏み外す,13,国際,,
317,,,2.0,守り抜く,13,国家,,
318,,,2.0,作る,13,前提,,
319,,,2.0,話し合う,13,提供,,
320,,,2.0,偏る,13,発生,,
321,,,2.0,有する,13,発展,,
322,,,2.0,併せる,13,子育て支援,,
323,,,2.0,図れる,13,明確,,
324,,,2.0,反する,13,継続,,
325,,,2.0,交わす,13,復興特別法人税,,
326,,,2.0,屈する,13,開発,,
327,,,2.0,委ねる,13,処遇,,
328,,,2.0,盛り上がる,13,原子力規制委員会,,
329,,,2.0,改める,13,時代,,
330,,,2.0,成し遂げる,13,発言,,
331,,,2.0,賜る,13,法の支配,,
332,,,2.0,見きわめる,13,平和国家,,
333,,,2.0,位置づける,13,多様,,
334,,,2.0,かける,13,今年,,
335,,,2.0,打ち捨てる,13,再建,,
336,,,2.0,芽吹く,13,避難,,
337,,,2.0,沸く,13,現場,,
338,,,2.0,取り入れる,13,技術,,
339,,,2.0,かさむ,13,文化,,
340,,,2.0,広まる,13,道州制,,
341,,,2.0,落ち込む,13,給付,,
342,,,2.0,挑む,13,振興,,
343,,,2.0,取り除く,13,研究,,
344,,,2.0,上る,12,少子高齢化,,
345,,,2.0,振れる,12,残念,,
346,,,2.0,見つかる,12,柔軟,,
347,,,2.0,食べる,12,参加,,
348,,,2.0,見舞う,12,挑戦,,
349,,,2.0,抱く,12,公明党,,
350,,,2.0,突き破る,12,づくり,,
351,,,2.0,悩む,12,ASEAN,,
352,,,2.0,惜しむ,12,国々,,
353,,,2.0,飛び込む,12,国益,,
354,,,2.0,加わる,12,財政健全化,,
355,,,2.0,刻む,12,両立,,
356,,,2.0,駆け回る,12,税率,,
357,,,2.0,据える,12,検証,,
358,,,2.0,適す,12,大臣,,
359,,,2.0,乗り出す,12,活動,,
360,,,2.0,先駆ける,12,報告,,
361,,,2.0,羽ばたける,12,組織,,
362,,,2.0,伝わる,12,条件,,
363,,,2.0,相次ぐ,12,集約,,
364,,,2.0,洗う,12,移設,,
365,,,2.0,拭き取る,12,合意,,
366,,,2.0,挟む,12,基地,,
367,,,2.0,包む,12,交流,,
368,,,2.0,呼びかける,12,答弁,,
369,,,2.0,出かける,12,具体的,,
370,,,2.0,動く,12,円滑,,
371,,,2.0,羽ばたく,12,津々浦々,,
372,,,2.0,課する,12,格差,,
373,,,1.0,食う,12,再生可能エネルギー,,
374,,,1.0,眠れる,12,前面,,
375,,,1.0,驚く,12,税制改正,,
376,,,1.0,学ぶ,12,原則,,
377,,,1.0,押しつける,12,目的,,
378,,,1.0,過ごす,12,提案,,
379,,,1.0,要る,12,精神,,
380,,,1.0,減らす,12,効率化,,
381,,,1.0,割り出す,12,働きかけ,,
382,,,1.0,通す,12,当局,,
383,,,1.0,参る,11,未来,,
384,,,1.0,残る,11,生産性,,
385,,,1.0,頼る,11,強靱,,
386,,,1.0,つかむ,11,解消,,
387,,,1.0,下げる,11,日米同盟,,
388,,,1.0,及ぼす,11,国連,,
389,,,1.0,見れる,11,底上げ,,
390,,,1.0,まつ,11,産業,,
391,,,1.0,有す,11,市町村,,
392,,,1.0,損なう,11,変化,,
393,,,1.0,途絶える,11,ルール,,
394,,,1.0,添える,11,法律,,
395,,,1.0,振り向ける,11,毎年,,
396,,,1.0,漏れる,11,直接,,
397,,,1.0,買いたたく,11,返還,,
398,,,1.0,負ける,11,配慮,,
399,,,1.0,積み上げる,11,一体,,
400,,,1.0,張る,11,一丸,,
401,,,1.0,配る,11,助成,,
402,,,1.0,縛る,11,実感,,
403,,,1.0,回る,11,物価,,
404,,,1.0,受け継ぐ,11,経営,,
405,,,1.0,継ぐ,11,一致,,
406,,,1.0,教える,11,不安,,
407,,,1.0,遭う,11,総理,,
408,,,1.0,おどかす,11,戦争,,
409,,,1.0,渡す,11,安倍政権,,
410,,,1.0,反す,11,調査,,
411,,,1.0,出せる,11,前倒し,,
412,,,1.0,やじる,11,オープン,,
413,,,1.0,読む,11,高齢者,,
414,,,1.0,祈る,11,現実,,
415,,,1.0,祭る,11,各党,,
416,,,1.0,結びつける,11,会派,,
417,,,1.0,目立つ,11,稼働,,
418,,,1.0,従う,11,創造,,
419,,,1.0,守れる,11,世代,,
420,,,1.0,勝つ,11,自衛隊,,
421,,,1.0,ぶつかる,10,希望,,
422,,,1.0,存じ上げる,10,岩場,,
423,,,1.0,知らせる,10,ダボス会議,,
424,,,1.0,銘じる,10,一番,,
425,,,1.0,仕える,10,育休,,
426,,,1.0,違う,10,仕事,,
427,,,1.0,向き合う,10,定数,,
428,,,1.0,わたる,10,都市,,
429,,,1.0,生きる,10,会場,,
430,,,1.0,優れる,10,交通,,
431,,,1.0,重なる,10,展開,,
432,,,1.0,恵まれる,10,中期,,
433,,,1.0,取り繕う,10,達成,,
434,,,1.0,降りる,10,緩和,,
435,,,1.0,就く,10,競争力,,
436,,,1.0,繰り越す,10,法人税,,
437,,,1.0,おそれる,10,期間,,
438,,,1.0,戻す,10,評価,,
439,,,1.0,削る,10,本法,,
440,,,1.0,染み付く,10,監視,,
441,,,1.0,徹する,10,結論,,
442,,,1.0,誇る,10,日韓,,
443,,,1.0,住み慣れる,10,対話,,
444,,,1.0,離れる,10,精力的,,
445,,,1.0,排す,10,正規,,
446,,,1.0,ほかなる,10,政権,,
447,,,1.0,立てる,10,基本方針,,
448,,,1.0,占める,10,民主主義,,
449,,,1.0,移す,10,各国,,
450,,,1.0,楽しむ,10,中小,,
451,,,1.0,役立てる,10,追加,,
452,,,1.0,作れる,10,国土,,
453,,,1.0,表する,10,二十一世紀,,
454,,,1.0,現れる,10,国民投票,,
455,,,1.0,高まる,10,報告書,,
456,,,1.0,扱う,10,税制抜本改革,,
457,,,1.0,評す,10,準備,,
458,,,1.0,覚える,10,同法,,
459,,,1.0,学べる,10,最低賃金,,
460,,,1.0,凝らす,10,現行,,
461,,,1.0,見出せる,10,連立,,
462,,,1.0,話す,10,地方分権,,
463,,,1.0,振り返る,9,開花,,
464,,,1.0,遅れる,9,積極的,,
465,,,1.0,投げ込む,9,意味,,
466,,,1.0,たつ,9,選挙,,
467,,,1.0,借りる,9,公務員,,
468,,,1.0,分かつ,9,そのため,,
469,,,1.0,そらす,9,供給,,
470,,,1.0,発す,9,大局,,
471,,,1.0,ささげる,9,重層,,
472,,,1.0,迫る,9,国際協調主義,,
473,,,1.0,ためる,9,発信,,
474,,,1.0,振り向く,9,黒字化,,
475,,,1.0,則す,9,以来,,
476,,,1.0,案ずる,9,反動,,
477,,,1.0,説く,9,委員会,,
478,,,1.0,くじける,9,反映,,
479,,,1.0,打ち破る,9,両国,,
480,,,1.0,潜る,9,繁栄,,
481,,,1.0,しかける,9,気持ち,,
482,,,1.0,あらわれる,9,増加,,
483,,,1.0,しみつく,9,次世代,,
484,,,1.0,逃れる,9,子ども,,
485,,,1.0,禁ずる,9,疾患,,
486,,,1.0,脱す,9,大幅,,
487,,,1.0,掘り起こす,9,非正規,,
488,,,1.0,切り出す,9,勘案,,
489,,,1.0,ばらまく,9,発表,,
490,,,1.0,望む,9,十二月,,
491,,,1.0,はかれる,9,裾野,,
492,,,1.0,整う,9,経済活動,,
493,,,1.0,論ずる,9,低減,,
494,,,1.0,動かす,9,個人,,
495,,,1.0,気付かす,9,人材育成,,
496,,,1.0,選べる,9,岡田,,
497,,,1.0,代える,9,基本的人権,,
498,,,1.0,勝ち得る,9,靖国神社,,
499,,,1.0,勇気づける,9,執行,,
500,,,1.0,気づく,9,懇談,,
501,,,1.0,かえる,9,三本の矢,,
502,,,1.0,かち得る,9,後押し,,
503,,,,,9,NHK,,
504,,,,,9,見通し,,
505,,,,,9,本格,,
506,,,,,9,各種,,
507,,,,,9,インド,,
508,,,,,9,就任,,
509,,,,,9,教育委員会,,
510,,,,,9,子供,,
511,,,,,9,公共,,
512,,,,,9,豊か,,
513,,,,,9,エネルギー基本計画,,
514,,,,,9,設定,,
515,,,,,9,誇り,,
516,,,,,9,リーダーシップ,,
517,,,,,9,中核,,
518,,,,,9,元気,,
519,,,,,9,きっかけ,,
520,,,,,9,契機,,
521,,,,,9,徹底的,,
522,,,,,9,内部留保,,
523,,,,,9,農山漁村,,
524,,,,,9,責任野党,,
525,,,,,9,人口減少,,
526,,,,,9,外国人,,
527,,,,,9,周辺,,
528,,,,,9,倍増,,
529,,,,,8,質問,,
530,,,,,8,お話,,
531,,,,,8,事実,,
532,,,,,8,削減,,
533,,,,,8,多数,,
534,,,,,8,応援,,
535,,,,,8,一般会計,,
536,,,,,8,発行,,
537,,,,,8,民主党政権,,
538,,,,,8,道筋,,
539,,,,,8,財政再建,,
540,,,,,8,この道,,
541,,,,,8,大規模,,
542,,,,,8,軽減税率,,
543,,,,,8,論点,,
544,,,,,8,着手,,
545,,,,,8,国家戦略特区,,
546,,,,,8,アジア太平洋地域,,
547,,,,,8,情報機関,,
548,,,,,8,全区,,
549,,,,,8,情報保全監察室,,
550,,,,,8,暗号,,
551,,,,,8,困難,,
552,,,,,8,武器,,
553,,,,,8,負担軽減,,
554,,,,,8,沖縄県,,
555,,,,,8,作成,,
556,,,,,8,全額,,
557,,,,,8,医療費,,
558,,,,,8,動向,,
559,,,,,8,設備投資,,
560,,,,,8,経済界,,
561,,,,,8,動き,,
562,,,,,8,補助,,
563,,,,,8,深刻,,
564,,,,,8,反省,,
565,,,,,8,成果,,
566,,,,,8,長年,,
567,,,,,8,低所得,,
568,,,,,8,経済状況,,
569,,,,,8,再就職,,
570,,,,,8,歴代,,
571,,,,,8,諸国,,
572,,,,,8,対話のドア,,
573,,,,,8,法的,,
574,,,,,8,スタート,,
575,,,,,8,三月,,
576,,,,,8,長期,,
577,,,,,8,被災者,,
578,,,,,8,一日,,
579,,,,,8,廃炉,,
580,,,,,8,確実,,
581,,,,,8,協力関係,,
582,,,,,8,省エネルギー,,
583,,,,,8,伝統,,
584,,,,,8,制定,,
585,,,,,8,意欲,,
586,,,,,8,不可能,,
587,,,,,8,期限,,
588,,,,,8,整理,,
589,,,,,8,大会,,
590,,,,,8,福島第一原発,,
591,,,,,8,不測,,
592,,,,,8,中国側,,
593,,,,,8,謙虚,,
594,,,,,8,慎重,,
595,,,,,8,前進,,
596,,,,,8,教員,,
597,,,,,8,テーマ,,
598,,,,,8,東北,,
599,,,,,8,減税,,
600,,,,,8,研究開発,,
601,,,,,8,英語,,
602,,,,,8,手紙,,
603,,,,,8,世界一,,
604,,,,,8,自衛隊員,,
605,,,,,7,一人,,
606,,,,,7,人達,,
607,,,,,7,選択肢,,
608,,,,,7,保育,,
609,,,,,7,待機児童,,
610,,,,,7,編成,,
611,,,,,7,歳出,,
612,,,,,7,基本的,,
613,,,,,7,実効,,
614,,,,,7,限定,,
615,,,,,7,省庁,,
616,,,,,7,事務,,
617,,,,,7,保障,,
618,,,,,7,パートナー,,
619,,,,,7,チェック,,
620,,,,,7,カテゴリー,,
621,,,,,7,関与,,
622,,,,,7,保護,,
623,,,,,7,国会運営,,
624,,,,,7,意思,,
625,,,,,7,日中,,
626,,,,,7,プラス,,
627,,,,,7,十二分,,
628,,,,,7,訓練,,
629,,,,,7,短縮,,
630,,,,,7,安定化,,
631,,,,,7,暮らし,,
632,,,,,7,保険料,,
633,,,,,7,受益,,
634,,,,,7,均衡,,
635,,,,,7,不断,,
636,,,,,7,内容,,
637,,,,,7,価格,,
638,,,,,7,セーフティーネット,,
639,,,,,7,消費者,,
640,,,,,7,信頼,,
641,,,,,7,コスト,,
642,,,,,7,育成,,
643,,,,,7,家庭,,
644,,,,,7,示し,,
645,,,,,7,赦免,,
646,,,,,7,手続,,
647,,,,,7,締結,,
648,,,,,7,脅威,,
649,,,,,7,容易,,
650,,,,,7,国境,,
651,,,,,7,需要,,
652,,,,,7,ソフト,,
653,,,,,7,農村,,
654,,,,,7,化石燃料,,
655,,,,,7,工事,,
656,,,,,7,汚染水,,
657,,,,,7,予防,,
658,,,,,7,迅速,,
659,,,,,7,抜本的,,
660,,,,,7,道徳教育,,
661,,,,,7,教科,,
662,,,,,7,若者たち,,
663,,,,,7,グローバルな,,
664,,,,,7,設備,,
665,,,,,7,直面,,
666,,,,,7,オリンピック,,
667,,,,,7,賠償,,
668,,,,,7,収束,,
669,,,,,7,行政,,
670,,,,,7,握手,,
671,,,,,7,海上連絡メカニズム,,
672,,,,,7,同様,,
673,,,,,7,トップ,,
674,,,,,7,高位,,
675,,,,,7,一括,,
676,,,,,7,防災,,
677,,,,,7,観光立国,,
678,,,,,7,輸出,,
679,,,,,7,フル,,
680,,,,,7,程度,,
681,,,,,7,会長,,
682,,,,,7,成長産業,,
683,,,,,7,被害,,
684,,,,,7,家族,,
685,,,,,6,以外,,
686,,,,,6,育児,,
687,,,,,6,選挙制度,,
688,,,,,6,機関,,
689,,,,,6,彼ら,,
690,,,,,6,中東,,
691,,,,,6,国債,,
692,,,,,6,赤字,,
693,,,,,6,脱却,,
694,,,,,6,ことし,,
695,,,,,6,発足,,
696,,,,,6,金融緩和,,
697,,,,,6,紹介,,
698,,,,,6,増収,,
699,,,,,6,視点,,
700,,,,,6,特定,,
701,,,,,6,収集,,
702,,,,,6,利益,,
703,,,,,6,責任者,,
704,,,,,6,解除,,
705,,,,,6,行政機関,,
706,,,,,6,内閣府,,
707,,,,,6,全体像,,
708,,,,,6,任務,,
709,,,,,6,規定,,
710,,,,,6,関係者,,
711,,,,,6,抑止力,,
712,,,,,6,要望,,
713,,,,,6,今般,,
714,,,,,6,ものづくり,,
715,,,,,6,商業,,
716,,,,,6,生きがい,,
717,,,,,6,何度でも,,
718,,,,,6,安全性,,
719,,,,,6,極め手,,
720,,,,,6,大学,,
721,,,,,6,自立,,
722,,,,,6,事例,,
723,,,,,6,行為,,
724,,,,,6,多大,,
725,,,,,6,民主,,
726,,,,,6,隣国,,
727,,,,,6,大統領,,
728,,,,,6,不戦,,
729,,,,,6,思い,,
730,,,,,6,土俵,,
731,,,,,6,みずから,,
732,,,,,6,先月,,
733,,,,,6,一貫,,
734,,,,,6,確認,,
