,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
32,危うい,21,見る,297,確保,488,次に,7,,著しい,14,つく,251,今回,395,じゃ,5,,弱い,14,いける,241,地域,380,ましてや,6,,深い,18,つく,249,場合,445,それでは,8,,やむを得ない,25,つく,283,発言,458,それでは,9,,悪い,16,目指す,183,企業,328,じゃ,6
33,揺るぎない,20,果たす,296,制度,483,それでは,7,,近い,14,受ける,230,問題,395,次に,4,,著しい,13,おく,225,とき,373,それと,6,,少ない,18,踏まえる,247,要件,423,だからといって,5,,詳しい,22,示す,280,事実,456,こうして,9,,おいしい,15,働く,177,検討,318,それでは,6
34,おかしい,19,目指す,272,責任,477,ですから,7,,やむを得ない,14,目指す,228,実現,382,よって,4,,やむを得ない,13,見る,225,問題,366,よって,4,,きめ細かい,16,示す,237,地域,417,ゆえに,5,,弱い,20,あり,277,今後,453,ただし,9,,痛い,14,求める,176,結果,314,ましてや,4
35,きめ細かい,18,いう,268,今回,472,だからといって,6,,悪い,14,基づく,223,世界,368,ましてや,4,,詳しい,12,働く,215,考え方,365,だからといって,4,,短い,15,当たる,233,改革,415,こうして,4,,すばらしい,16,いける,268,とおり,436,だからといって,8,,短い,14,図る,176,地域,309,よって,4
36,おいしい,17,つく,251,実現,468,ましてや,4,,おいしい,13,上がる,220,企業,357,それと,4,,粘り強い,12,おっしゃる,204,とおり,360,こうして,4,,安い,14,あり,230,発言,412,ですから,4,,小さい,15,踏まえる,262,確保,432,次に,7,,弱い,14,受ける,173,対策,297,さて,2
37,粘り強い,16,出す,250,検討,468,ゆえに,4,,詳しい,13,おく,212,皆さん,345,それから,4,,きめ細かい,11,つく,203,事実,342,ですから,3,,すばらしい,14,出す,221,説明,405,それから,4,,危うい,15,図る,258,自衛隊,426,さて,6,,注意深い,14,出す,168,問題,294,それと,2
38,詳しい,16,基づく,248,政策,464,それから,4,,短い,12,示す,203,改革,340,ゆえに,3,,うまい,11,示す,200,場合,341,だって,3,,詳しい,14,果たす,217,国会,397,それと,3,,悪い,14,おく,255,考え方,419,ですから,6,,安い,13,出る,165,課題,290,ところが,2
39,安い,14,示す,241,大臣,459,それに,4,,望ましい,10,いう,188,地方,339,並びに,3,,望ましい,10,出る,191,今回,335,ところが,3,,温かい,12,目指す,216,とおり,397,ましてや,3,,申し訳ない,12,基づく,254,政策,413,ゆえに,6,,すばらしい,13,おく,158,皆さん,284,ですから,2
40,小さい,13,いける,234,とき,457,だって,4,,うまい,9,出す,188,説明,336,ですから,2,,すばらしい,9,とる,186,結果,335,そうして,3,,固い,11,基づく,213,制度,394,ところが,2,,ほしい,11,出る,246,経済,410,それと,5,,望ましい,13,つく,153,国会,283,それから,1
41,激しい,12,出る,230,課題,451,ところが,4,,ほしい,9,あり,186,対策,333,だって,2,,揺るぎない,9,基づく,183,支援,323,次に,3,,おかしい,11,見る,203,支援,393,次に,2,,望ましい,11,おっしゃる,243,検討,397,それに,4,,明るい,11,当たる,151,大臣,278,つまるところ,1
42,明るい,12,求める,226,世界,435,さて,3,,苦しい,9,果たす,185,とき,332,そうすると,2,,厚い,9,出す,183,皆さん,321,それから,2,,明るい,11,おく,201,実現,377,だって,1,,親しい,10,求める,227,要件,396,だって,4,,やむを得ない,8,基づく,143,方々,274,ですが,1
43,貧しい,11,おっしゃる,216,地方,423,それと,3,,言うまでもない,8,出る,184,平成,330,さて,2,,難い,7,あり,176,安全,319,ゆえに,2,,望ましい,10,認める,193,方々,369,ですが,1,,すごい,10,認める,224,活動,388,ましてや,4,,近い,8,おっしゃる,142,私たち,268,だって,1
44,望ましい,9,上げる,209,企業,414,こうして,3,,すごい,8,上げる,178,結果,330,ところが,2,,麗しい,7,変わる,166,さまざま,305,さて,2,,著しい,9,いける,180,自衛隊,363,若しくは,1,,著しい,9,上がる,219,結果,385,そうすると,3,,うまい,8,果たす,139,改革,266,次に,1
45,がたい,9,おく,209,対策,412,でなければ,2,,危うい,7,いける,168,検討,329,それだけに,2,,がたい,7,入る,166,平和,304,そうしたら,2,,がたい,9,入る,175,行使,361,けれども,1,,揺るぎない,9,行く,216,米国,381,ところが,2,,温かい,8,いける,131,とき,264,それどころか,1
46,ほしい,9,起こる,209,とおり,393,若しくは,2,,痛い,7,おっしゃる,157,事実,324,そうして,1,,すごい,7,行く,165,課題,297,でなければ,1,,乏しい,8,出る,172,理解,344,それどころか,1,,明るい,8,上げる,215,制度,375,並びに,2,,固い,7,とる,131,新た,257,それとも,1
47,かたい,9,当たる,201,米国,393,ついては,1,,厚い,7,求める,148,年度,324,すると,1,,つらい,6,かかわる,162,私たち,295,というのも,1,,激しい,8,求める,171,検討,340,それとも,1,,きめ細かい,8,当たる,212,行使,368,というのも,2,,手厚い,7,上げる,131,判断,255,だからといって,1
48,温かい,9,あり,186,結果,392,ですが,1,,細かい,6,入る,147,判断,317,というのも,1,,おいしい,6,認める,159,実施,290,そうすると,1,,難い,8,変わる,171,平和,340,そうして,1,,難い,8,入る,210,企業,365,若しくは,1,,言うまでもない,7,変わる,126,交渉,249,次いで,1
49,数多い,8,行く,184,発言,387,それどころか,1,,激しい,6,当たる,146,私たち,313,だからといって,1,,重たい,5,上げる,153,世界,289,ついては,1,,ほしい,8,知る,168,政策,338,それに,1,,粘り強い,8,働く,200,国会,356,けれども,1,,詳しい,7,認める,123,とおり,245,それに,1
50,乏しい,8,述べる,171,皆さん,384,次いで,1,,明るい,6,超える,146,課題,311,ついては,1,,乏しい,5,当たる,148,政策,289,それだけに,1,,忙しい,7,聞く,163,大臣,335,じゃあ,1,,言うまでもない,8,述べる,197,交渉,347,ついては,1,,痛ましい,6,つながる,120,今回,244,,
51,著しい,8,とる,170,新た,381,それなら,1,,がたい,5,ふえる,140,整備,301,,,,忙しい,5,求める,147,立場,287,次いで,1,,小さい,7,おっしゃる,158,結果,335,,,,悲しい,7,進む,194,地方,346,それだけに,1,,うれしい,6,上がる,118,考え方,242,,
52,言うまでもない,7,かかわる,170,国会,369,というのも,1,,尊い,5,行く,139,強化,300,,,,小さい,5,立つ,145,発言,287,追って,1,,手厚い,7,ござる,156,活動,333,,,,うれしい,7,ござる,193,そこ,343,それなのに,1,,がたい,6,述べる,117,成長,236,,
53,とうとい,7,変える,168,説明,369,そうして,1,,小さい,5,進む,136,お答え,295,,,,有り難い,4,述べる,140,対策,286,だけれども,1,,いち早い,7,進む,154,議員,333,,,,手厚い,7,しまう,192,私たち,341,でなければ,1,,乏しい,6,決める,117,発言,236,,
54,うまい,7,超える,168,議員,367,,,,すばらしい,5,認める,131,実施,292,,,,固い,4,変える,139,交渉,282,なかんずく,1,,揺るぎない,7,続ける,153,事態,331,,,,厚い,7,取る,186,事態,338,,,,数多い,6,あり,115,整備,234,,
55,親しい,7,もらう,164,強化,367,,,,うるさい,4,変わる,130,年金,289,,,,貧しい,4,いただける,137,米国,282,それなのに,1,,ひどい,7,述べる,151,新た,325,,,,怖い,7,果たす,178,皆さん,338,,,,尊い,5,聞く,114,事実,233,,
56,厚い,7,聞く,162,考え,365,,,,申し訳ない,4,ござる,130,国会,286,,,,古い,4,上がる,136,考え,276,,,,うまい,6,超える,145,対策,322,,,,古い,7,聞く,169,課題,331,,,,貧しい,5,続ける,108,考え,233,,
57,手厚い,7,決める,161,全て,361,,,,かたい,4,立つ,129,とおり,283,,,,うるさい,4,させる,132,行使,273,,,,尊い,6,上げる,143,考え方,322,,,,うるさい,7,与える,169,北朝鮮,327,,,,危うい,5,超える,108,承知,232,,
58,うるさい,7,続ける,154,場合,347,,,,きつい,4,つながる,121,考え方,283,,,,明るい,4,目指す,130,国会,269,,,,厚い,6,決める,139,責任,320,,,,貧しい,7,変える,168,理解,326,,,,すごい,5,ふえる,104,平成,232,,
59,ひどい,7,違う,150,さまざま,343,,,,手厚い,4,いただける,120,場合,273,,,,激しい,4,与える,128,承知,266,,,,言うまでもない,6,いただける,138,皆さん,318,,,,優しい,6,変わる,166,世界,326,,,,揺るぎない,5,いただける,103,説明,231,,
60,重たい,6,進む,148,皆様,331,,,,難い,4,しまう,114,新た,268,,,,物すごい,4,果たす,127,実現,260,,,,数多い,6,もらう,132,措置,312,,,,細かい,6,違う,166,責任,324,,,,かたい,4,立つ,100,社会保障,223,,
61,痛ましい,6,立つ,148,年度,330,,,,うれしい,4,述べる,114,考え,265,,,,細かい,4,起こる,127,活動,260,,,,古い,5,行く,131,事実,311,,,,速い,6,起こる,162,平和,320,,,,細かい,4,入る,97,全て,219,,
62,やむを得ない,6,生かす,148,整備,327,,,,温かい,4,続ける,114,発言,264,,,,痛ましい,3,呼ぶ,123,説明,255,,,,細かい,5,変える,129,整備,307,,,,温かい,6,目指す,160,新た,320,,,,甘い,4,させる,96,理解,218,,
63,うれしい,6,ござる,142,努力,325,,,,悲しい,4,応じる,114,法案,263,,,,甘い,3,挙げる,123,観点,254,,,,うるさい,5,起こる,128,武力攻撃,303,,,,尊い,5,いただける,159,様々,319,,,,ひどい,4,引き続く,95,現在,216,,
64,すごい,6,入る,142,平成,321,,,,優しい,4,講じる,113,交渉,262,,,,心強い,3,聞く,122,お答え,254,,,,かたい,5,しまう,128,考え,291,,,,つらい,5,決める,150,考え,317,,,,弱々しい,4,かかわる,92,観点,214,,
65,忙しい,6,変わる,138,実施,321,,,,固い,3,与える,109,質問,259,,,,遠い,3,違う,120,平成,249,,,,痛ましい,4,立つ,128,強化,287,,,,有り難い,5,使う,149,質問,313,,,,厚い,4,進む,91,年度,213,,
66,難い,5,いただける,138,改善,314,,,,等しい,3,至る,109,承知,256,,,,とうとい,3,進む,120,自衛隊,246,,,,軽い,4,かかわる,126,企業,287,,,,激しい,5,超える,149,実施,308,,,,難い,4,変える,89,様々,213,,
67,固い,5,上がる,137,考え方,313,,,,遠い,3,とる,101,責任,255,,,,しつこい,3,しまう,119,認識,244,,,,注意深い,4,違う,125,課題,285,,,,物すごい,5,とる,146,全て,303,,,,いち早い,4,行く,88,地方,213,,
68,暗い,5,つながる,137,環境,308,,,,余儀ない,3,聞く,100,観点,250,,,,ありがたい,3,決める,116,年度,243,,,,底堅い,4,至る,124,集団的自衛権,280,,,,苦しい,5,分かる,144,安定,301,,,,とうとい,3,なす,87,実施,211,,
69,痛い,5,引き続く,137,理解,306,,,,つらい,3,始める,99,ルール,250,,,,ほしい,3,ござる,112,質問,239,,,,痛い,4,つながる,123,法案,279,,,,遠い,5,立つ,144,措置,299,,,,ひとしい,3,しまう,87,北朝鮮,207,,
70,速い,5,しまう,134,観点,305,,,,痛ましい,3,取る,99,様々,245,,,,遅い,3,含む,110,影響,238,,,,親しい,4,とる,121,お答え,277,,,,余儀ない,4,呼ぶ,143,皆様,299,,,,好ましい,3,もらう,87,年金,206,,
71,有り難い,5,知る,132,私たち,304,,,,喜ばしい,3,違う,99,理解,244,,,,危うい,3,つながる,110,責任,235,,,,とうとい,3,取る,120,環境,276,,,,固い,4,もらう,142,承知,298,,,,激しい,3,取る,87,認識,205,,
72,遅い,4,尽くす,131,お答え,304,,,,怖い,3,努める,95,環境,241,,,,うれしい,3,超える,103,理解,233,,,,遅い,3,なす,119,承知,273,,,,かたい,4,つながる,139,認識,296,,,,目覚ましい,3,ござる,86,改善,204,,
73,尊い,4,応じる,127,承知,303,,,,物すごい,3,なす,95,昨年,241,,,,うい,3,使う,101,企業,232,,,,速い,3,挙げる,117,努力,271,,,,暗い,4,かかわる,138,意味,294,,,,底堅い,3,応じる,85,以上,204,,
74,汚い,4,させる,123,安定,303,,,,揺るぎない,3,起こる,95,成長,240,,,,注意深い,2,なす,99,そこ,232,,,,優しい,3,尽くす,115,私たち,270,,,,痛ましい,4,至る,132,武力攻撃,292,,,,遅い,2,引き上げる,81,ルール,202,,
75,底堅い,4,努める,123,そこ,302,,,,幼い,3,変える,94,以上,240,,,,申し訳ない,2,書く,98,岩場,231,,,,つらい,3,与える,111,実施,269,,,,がたい,4,来る,132,ここ,289,,,,軽い,2,講じる,79,議員,198,,
76,細かい,4,わかる,121,情報,292,,,,毛頭ない,2,重ねる,94,措置,239,,,,くい,2,答える,98,事態,231,,,,そぐわない,3,含む,107,質問,267,,,,おいしい,4,入れる,127,大切,284,,,,重たい,2,呼ぶ,78,責任,192,,
77,いち早い,4,なす,117,社会,289,,,,乏しい,2,加える,93,米国,239,,,,目覚ましい,2,続ける,96,現在,228,,,,極まりない,3,上がる,106,そこ,266,,,,重たい,3,書く,126,環境,284,,,,うるさい,2,与える,78,強化,191,,
78,申し訳ない,4,認める,114,法案,286,,,,しつこい,2,決める,93,安定,234,,,,苦しい,2,引き続く,95,努力,227,,,,幼い,3,答える,104,観点,263,,,,狭い,3,挙げる,124,議員,282,,,,あまねい,2,生かす,78,いずれ,191,,
79,恥ずかしい,4,ふえる,112,意味,285,,,,浅い,2,かかわる,90,社会保障,234,,,,もったいない,2,もらう,92,可能,227,,,,寒い,3,繰り返す,102,全て,261,,,,恥ずかしい,3,なす,123,多く,282,,,,みずみずしい,2,つくり出す,77,場合,189,,
80,狭い,3,挙げる,109,認識,283,,,,ありがたい,2,含む,90,現在,230,,,,余儀ない,2,ふえる,90,全て,224,,,,目覚ましい,3,応じる,102,皆様,259,,,,ひどい,3,知る,122,お答え,280,,,,おどろおどろしい,2,努める,77,負担,188,,
81,つらい,3,応える,106,農業,282,,,,暖かい,2,入れる,89,改善,228,,,,言うまでもない,2,加える,88,ここ,224,,,,ありがたい,2,引き続く,98,意味,256,,,,とうとい,2,続ける,120,お尋ね,279,,,,暗い,2,取りまとめる,76,ここ,188,,
82,怪しい,3,答える,105,質問,280,,,,有り難い,2,引き上げる,88,推進,228,,,,痛い,2,わかる,85,年金,224,,,,うれしい,2,関わる,96,年度,256,,,,若々しい,2,続く,116,憲法,277,,,,ありがたい,2,違う,72,社会,188,,
83,苦しい,3,しれる,104,推進,279,,,,輝かしい,2,続く,88,年間,227,,,,づらい,2,入れる,82,要件,222,,,,麗しい,2,させる,92,交渉,253,,,,毛頭ない,2,応じる,109,実現,276,,,,忙しい,2,入れる,71,環境,187,,
84,遠い,3,含む,102,大切,278,,,,速い,2,呼ぶ,88,議員,225,,,,尊い,2,高める,78,安定,216,,,,毛頭ない,2,加える,92,国際社会,253,,,,根強い,2,含む,109,デフレ,275,,,,毛頭ない,2,挙げる,71,それぞれ,184,,
85,等しい,3,関わる,101,予算,277,,,,情けない,2,増える,87,大切,224,,,,かたい,2,下がる,74,憲法,215,,,,潔い,2,わかる,91,様々,248,,,,いち早い,2,関わる,108,強化,271,,,,ほしい,2,至る,70,努力,182,,
86,優しい,3,続く,100,全体,276,,,,数多い,2,合わせる,87,目標,224,,,,等しい,2,置く,72,社会保障,215,,,,こわい,2,重ねる,91,平成,247,,,,弱々しい,2,生かす,108,観点,270,,,,づらい,1,含む,70,自由,181,,
87,極まりない,3,至る,100,立場,271,,,,緩い,2,下がる,86,いずれ,224,,,,狭い,2,始める,71,法案,214,,,,甘い,2,会う,90,認識,244,,,,遅い,2,答える,108,現在,266,,,,憎たらしい,1,始める,70,安定,178,,
88,幼い,3,始める,99,社会保障,266,,,,恥ずかしい,2,もらう,86,皆様,223,,,,怖い,2,尽くす,71,いずれ,214,,,,遠い,2,努める,90,連携,243,,,,忙しい,2,重ねる,107,集団的自衛権,265,,,,汚い,1,増える,64,全体,174,,
89,目覚ましい,3,引き上げる,99,成長,266,,,,ひどい,2,使う,83,予算,222,,,,つまらない,2,重ねる,70,多く,214,,,,有り難い,2,応える,87,自由,242,,,,ありがたい,2,させる,104,段階,264,,,,間近い,1,尽くす,64,大切,174,,
90,しつこい,3,使う,98,大変,265,,,,つまらない,2,知る,83,負担,218,,,,おとなしい,2,応じる,70,措置,212,,,,すごい,2,呼ぶ,87,さん,242,,,,汚い,2,ふえる,104,成長,263,,,,おとなしい,1,応える,62,拡大,173,,
91,づらい,2,加える,95,雇用,265,,,,頼もしい,1,答える,82,消費税,217,,,,つつがない,2,定める,69,調査,211,,,,貧しい,2,脅かす,86,いずれ,242,,,,鈍い,2,下がる,103,大変,257,,,,速い,1,下がる,62,質問,172,,
92,古い,2,講じる,95,現在,264,,,,もったいない,1,生かす,77,デフレ,217,,,,感慨深い,1,努める,67,議員,207,,,,おとなしい,2,限る,84,多く,239,,,,きつい,2,増える,103,努力,256,,,,余儀ない,1,合わせる,60,予算,171,,
93,軽い,2,重ねる,91,いずれ,264,,,,いち早い,1,させる,77,農業,215,,,,数少ない,1,期す,67,強化,204,,,,恥ずかしい,2,生かす,84,発生,239,,,,乏しい,2,しれる,102,お話,255,,,,怒りっぽい,1,生み出す,59,安倍政権,170,,
94,潔い,2,定める,91,取り組み,261,,,,旨い,1,引き続く,77,適切,214,,,,薄い,1,続く,67,全体,203,,,,おどろおどろしい,2,来る,84,現在,238,,,,暖かい,2,始める,102,十分,254,,,,苦しい,1,起こる,59,措置,169,,
95,注意深い,2,与える,91,ここ,258,,,,遅い,1,高める,76,憲法,211,,,,騒がしい,1,引き上げる,67,環境,203,,,,暗い,2,満たす,82,憲法,237,,,,喜ばしい,2,加える,94,改革,252,,,,心強い,1,開く,59,復興,169,,
96,物すごい,2,合わせる,90,昨年,256,,,,ばかばかしい,1,つくり出す,75,努力,209,,,,そぐわない,1,限る,66,新た,202,,,,汚い,2,増える,82,協力,233,,,,情けない,2,限る,93,立場,249,,,,欲しい,1,差し控える,58,十分,168,,
