,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt,形容詞,形容詞_cnt,動詞,動詞_cnt,名詞,名詞_cnt,接続詞,接続詞_cnt
41,貧しい,11.0,決める,162,皆様,330,さて,3.0,言うまでもない,8.0,立つ,130,国会,283,そうすると,2.0,難い,7.0,させる,136,承知,260,それから,2.0,望ましい,10.0,上げる,145,皆さん,312,だって,1.0,すごい,10.0,与える,169,世界,324,だって,4.0,近い,8.0,超える,108,平成,231,ですが,1.0
42,望ましい,9.0,続ける,161,年度,327,それと,3.0,すごい,8.0,つながる,129,考え方,273,さて,2.0,麗しい,7.0,目指す,132,実現,260,ゆえに,2.0,著しい,9.0,決める,143,措置,311,ですが,1.0,著しい,9.0,変える,169,責任,320,ましてや,4.0,うまい,8.0,ふえる,108,説明,223,だって,1.0
43,がたい,9.0,違う,154,整備,325,こうして,3.0,危うい,7.0,いただける,121,考え,264,ところが,2.0,がたい,7.0,与える,130,活動,255,さて,2.0,がたい,9.0,いただける,139,事実,307,若しくは,1.0,揺るぎない,9.0,変わる,168,平和,320,そうすると,3.0,温かい,8.0,いただける,104,社会保障,219,次に,1.0
44,ほしい,9.0,進む,150,努力,321,でなければ,2.0,痛い,7.0,しまう,120,発言,263,それだけに,2.0,すごい,7.0,果たす,128,説明,254,そうしたら,2.0,乏しい,8.0,もらう,138,整備,303,けれども,1.0,明るい,8.0,違う,166,考え,313,ところが,2.0,固い,7.0,立つ,103,全て,218,それどころか,1.0
45,かたい,9.0,立つ,148,平成,321,若しくは,2.0,厚い,7.0,述べる,114,法案,262,そうして,1.0,つらい,6.0,起こる,127,観点,254,でなければ,1.0,激しい,8.0,行く,132,武力攻撃,291,それどころか,1.0,きめ細かい,8.0,起こる,166,質問,308,並びに,2.0,手厚い,7.0,入る,100,理解,216,それとも,1.0
46,温かい,9.0,生かす,148,実施,314,ついては,1.0,細かい,6.0,続ける,114,交渉,259,すると,1.0,おいしい,6.0,呼ぶ,127,お答え,249,というのも,1.0,難い,8.0,変える,131,考え,287,それとも,1.0,難い,8.0,目指す,162,実施,303,というのも,2.0,言うまでもない,7.0,させる,97,現在,214,だからといって,1.0
47,数多い,8.0,ござる,148,改善,313,ですが,1.0,激しい,6.0,応じる,114,質問,256,というのも,1.0,重たい,5.0,挙げる,123,平成,246,そうすると,1.0,ほしい,8.0,起こる,129,強化,287,そうして,1.0,粘り強い,8.0,いただける,160,全て,301,若しくは,1.0,詳しい,7.0,引き続く,96,観点,213,次いで,1.0
48,乏しい,8.0,入る,142,考え方,308,それどころか,1.0,明るい,6.0,講じる,114,承知,255,だからといって,1.0,乏しい,5.0,聞く,123,自衛隊,244,ついては,1.0,忙しい,7.0,しまう,128,企業,285,それに,1.0,言うまでもない,8.0,決める,159,安定,299,けれども,1.0,痛ましい,6.0,かかわる,95,年度,213,それに,1.0
49,著しい,8.0,変わる,142,環境,306,次いで,1.0,がたい,5.0,与える,113,責任,250,ついては,1.0,忙しい,5.0,違う,122,認識,243,それだけに,1.0,小さい,7.0,立つ,128,課題,280,じゃあ,1.0,悲しい,7.0,使う,150,措置,299,ついては,1.0,うれしい,6.0,進む,92,地方,211,,
50,言うまでもない,7.0,いただける,138,理解,305,それなら,1.0,尊い,5.0,至る,109,観点,250,,,小さい,5.0,進む,120,年度,239,次いで,1.0,手厚い,7.0,かかわる,128,集団的自衛権,279,,,うれしい,7.0,超える,149,皆様,298,それだけに,1.0,がたい,6.0,変える,91,実施,207,,
51,とうとい,7.0,上がる,138,観点,304,というのも,1.0,小さい,5.0,とる,109,ルール,245,,,有り難い,4.0,しまう,120,質問,238,追って,1.0,いち早い,7.0,違う,126,法案,277,,,手厚い,7.0,とる,149,承知,296,それなのに,1.0,乏しい,6.0,行く,89,北朝鮮,206,,
52,うまい,7.0,つながる,137,私たち,304,そうして,1.0,すばらしい,5.0,聞く,101,理解,241,,,固い,4.0,決める,119,影響,235,だけれども,1.0,揺るぎない,7.0,至る,125,お答え,276,,,厚い,7.0,分かる,146,認識,294,でなければ,1.0,数多い,6.0,なす,88,年金,205,,
53,親しい,7.0,引き続く,137,お答え,303,,,うるさい,4.0,始める,100,環境,241,,,貧しい,4.0,ござる,116,責任,233,なかんずく,1.0,ひどい,7.0,つながる,124,環境,273,,,怖い,7.0,立つ,144,意味,292,,,尊い,5.0,しまう,87,認識,204,,
54,厚い,7.0,しまう,137,承知,303,,,申し訳ない,4.0,取る,99,昨年,240,,,古い,4.0,含む,112,理解,232,それなのに,1.0,うまい,6.0,とる,123,承知,271,,,古い,7.0,呼ぶ,144,武力攻撃,289,,,貧しい,5.0,もらう,87,改善,204,,
55,手厚い,7.0,知る,134,安定,302,,,かたい,4.0,違う,99,成長,240,,,うるさい,4.0,つながる,110,企業,232,,,尊い,6.0,取る,121,努力,270,,,うるさい,7.0,もらう,143,大切,284,,,危うい,5.0,取る,87,ルール,198,,
56,うるさい,7.0,尽くす,132,情報,289,,,きつい,4.0,努める,99,措置,239,,,明るい,4.0,超える,110,岩場,231,,,厚い,6.0,なす,120,私たち,269,,,貧しい,7.0,つながる,142,環境,282,,,すごい,5.0,ござる,87,議員,192,,
57,ひどい,7.0,応じる,131,社会,286,,,手厚い,4.0,なす,95,米国,234,,,激しい,4.0,使う,103,事態,228,,,言うまでもない,6.0,挙げる,119,実施,267,,,優しい,6.0,かかわる,139,議員,282,,,揺るぎない,5.0,応じる,86,責任,191,,
58,重たい,6.0,させる,127,法案,285,,,難い,4.0,起こる,95,安定,234,,,物すごい,4.0,なす,101,現在,227,,,数多い,6.0,尽くす,117,質問,266,,,細かい,6.0,至る,138,お答え,279,,,かたい,4.0,引き上げる,85,強化,191,,
59,痛ましい,6.0,努める,123,意味,283,,,うれしい,4.0,変える,95,社会保障,230,,,細かい,4.0,書く,99,努力,227,,,古い,5.0,与える,115,観点,261,,,速い,6.0,来る,132,お尋ね,277,,,細かい,4.0,講じる,81,いずれ,189,,
60,やむを得ない,6.0,わかる,123,認識,282,,,温かい,4.0,重ねる,94,現在,228,,,痛ましい,3.0,答える,98,可能,224,,,細かい,5.0,含む,111,全て,259,,,温かい,6.0,入れる,132,憲法,276,,,甘い,4.0,呼ぶ,79,負担,188,,
61,うれしい,6.0,なす,121,農業,280,,,悲しい,4.0,加える,94,改善,228,,,甘い,3.0,続ける,98,全て,224,,,うるさい,5.0,上がる,107,皆様,256,,,尊い,5.0,書く,127,実現,275,,,ひどい,4.0,与える,78,社会,187,,
62,すごい,6.0,認める,117,質問,279,,,優しい,4.0,決める,93,推進,227,,,心強い,3.0,引き続く,96,年金,222,,,かたい,5.0,答える,106,意味,256,,,つらい,5.0,挙げる,126,デフレ,271,,,弱々しい,4.0,生かす,78,環境,184,,
63,忙しい,6.0,ふえる,114,推進,278,,,固い,3.0,かかわる,93,年間,225,,,遠い,3.0,もらう,95,要件,216,,,痛ましい,4.0,繰り返す,104,年度,253,,,有り難い,5.0,なす,124,強化,270,,,厚い,4.0,つくり出す,78,努力,181,,
64,難い,5.0,挙げる,112,大切,277,,,等しい,3.0,含む,90,議員,224,,,とうとい,3.0,ふえる,92,安定,215,,,軽い,4.0,応じる,102,交渉,253,,,激しい,5.0,知る,123,観点,266,,,難い,4.0,努める,77,自由,178,,
65,固い,5.0,応える,109,予算,276,,,遠い,3.0,入れる,90,大切,224,,,しつこい,3.0,加える,90,憲法,215,,,注意深い,4.0,引き続く,102,国際社会,248,,,物すごい,5.0,続ける,122,現在,265,,,いち早い,4.0,取りまとめる,77,安定,174,,
66,暗い,5.0,答える,106,全体,271,,,余儀ない,3.0,引き上げる,89,目標,224,,,ありがたい,3.0,わかる,88,社会保障,214,,,底堅い,4.0,関わる,98,平成,244,,,苦しい,5.0,続く,120,集団的自衛権,264,,,とうとい,3.0,違う,76,全体,174,,
67,痛い,5.0,しれる,105,立場,266,,,つらい,3.0,続く,88,いずれ,223,,,ほしい,3.0,入れる,85,法案,214,,,痛い,4.0,させる,96,認識,243,,,遠い,5.0,応じる,116,段階,263,,,ひとしい,3.0,入れる,72,大切,173,,
68,速い,5.0,含む,104,社会保障,266,,,痛ましい,3.0,呼ぶ,88,皆様,222,,,遅い,3.0,高める,82,いずれ,214,,,親しい,4.0,加える,92,連携,242,,,余儀ない,4.0,含む,109,成長,257,,,好ましい,3.0,挙げる,71,拡大,172,,
69,有り難い,5.0,関わる,102,成長,265,,,喜ばしい,3.0,増える,88,予算,218,,,危うい,3.0,下がる,78,措置,211,,,とうとい,3.0,わかる,92,自由,242,,,固い,4.0,関わる,109,大変,256,,,激しい,3.0,至る,71,質問,171,,
70,遅い,4.0,続く,101,大変,265,,,怖い,3.0,合わせる,87,負担,217,,,うれしい,3.0,置く,74,調査,207,,,遅い,3.0,重ねる,91,いずれ,239,,,かたい,4.0,生かす,108,努力,255,,,目覚ましい,3.0,含む,70,予算,170,,
71,尊い,4.0,至る,100,雇用,264,,,物すごい,3.0,下がる,87,消費税,217,,,うい,3.0,始める,72,議員,204,,,速い,3.0,会う,91,発生,238,,,暗い,4.0,答える,108,お話,254,,,底堅い,3.0,始める,70,安倍政権,169,,
72,汚い,4.0,始める,100,現在,264,,,揺るぎない,3.0,もらう,86,デフレ,215,,,注意深い,2.0,尽くす,71,強化,203,,,優しい,3.0,努める,90,現在,237,,,痛ましい,4.0,重ねる,108,十分,252,,,遅い,2.0,増える,70,措置,169,,
73,底堅い,4.0,引き上げる,99,いずれ,261,,,幼い,3.0,使う,86,農業,214,,,申し訳ない,2.0,重ねる,71,全体,203,,,つらい,3.0,応える,90,憲法,233,,,がたい,4.0,させる,107,改革,249,,,軽い,2.0,尽くす,64,復興,168,,
74,細かい,4.0,使う,99,取り組み,258,,,毛頭ない,2.0,知る,83,適切,211,,,くい,2.0,応じる,70,環境,202,,,そぐわない,3.0,呼ぶ,87,協力,232,,,おいしい,4.0,ふえる,104,立場,249,,,重たい,2.0,応える,64,十分,167,,
75,いち早い,4.0,加える,98,昨年,255,,,乏しい,2.0,答える,83,憲法,209,,,目覚ましい,2.0,定める,70,大切,198,,,極まりない,3.0,脅かす,87,農業,230,,,重たい,3.0,下がる,104,派遣,244,,,うるさい,2.0,下がる,62,女性,166,,
76,申し訳ない,4.0,講じる,95,全力,254,,,しつこい,2.0,生かす,82,努力,206,,,苦しい,2.0,努める,69,基本,195,,,幼い,3.0,限る,86,改善,229,,,狭い,3.0,増える,103,発生,243,,,あまねい,2.0,合わせる,62,適切,165,,
77,恥ずかしい,4.0,重ねる,95,調査,252,,,浅い,2.0,させる,77,大変,203,,,もったいない,2.0,期す,67,皆様,194,,,寒い,3.0,生かす,84,立場,221,,,恥ずかしい,3.0,しれる,103,いずれ,239,,,みずみずしい,2.0,生み出す,60,年間,165,,
78,狭い,3.0,定める,91,目標,250,,,ありがたい,2.0,引き続く,77,影響,202,,,余儀ない,2.0,続く,67,十分,193,,,目覚ましい,3.0,来る,84,安定,219,,,ひどい,3.0,始める,102,影響,238,,,おどろおどろしい,2.0,起こる,59,目標,165,,
79,つらい,3.0,与える,91,措置,250,,,暖かい,2.0,高める,77,介護,199,,,言うまでもない,2.0,引き上げる,67,大変,192,,,ありがたい,2.0,満たす,84,段階,217,,,とうとい,2.0,加える,102,安全,233,,,暗い,2.0,開く,59,デフレ,163,,
80,怪しい,3.0,合わせる,91,北朝鮮,240,,,有り難い,2.0,つくり出す,76,全て,198,,,痛い,2.0,限る,67,整備,190,,,うれしい,2.0,増える,82,全体,214,,,若々しい,2.0,限る,94,連携,231,,,ありがたい,2.0,差し控える,59,投資,157,,
81,苦しい,3.0,書く,90,復興,235,,,輝かしい,2.0,支える,75,社会,198,,,づらい,2.0,講じる,66,北朝鮮,184,,,麗しい,2.0,書く,82,十分,212,,,毛頭ない,2.0,繰り返す,93,平成,229,,,忙しい,2.0,加える,58,お答え,155,,
82,遠い,3.0,資する,89,連携,233,,,速い,2.0,尽くす,74,活用,197,,,尊い,2.0,生じる,66,意味,181,,,毛頭ない,2.0,しれる,80,大切,210,,,根強い,2.0,尽くす,92,基本的,228,,,毛頭ない,2.0,作る,58,影響,155,,
83,等しい,3.0,頑張る,89,影響,232,,,情けない,2.0,定める,74,可能,193,,,かたい,2.0,しれる,66,ふう,180,,,潔い,2.0,定める,80,昨年,210,,,いち早い,2.0,わかる,90,賃金,228,,,ほしい,2.0,伴う,57,導入,153,,
84,優しい,3.0,生じる,89,消費税,231,,,数多い,2.0,比べる,74,連携,193,,,等しい,2.0,生かす,65,安全保障,179,,,こわい,2.0,覆す,79,攻撃,210,,,弱々しい,2.0,やめる,90,安全保障,227,,,づらい,1.0,答える,57,国際社会,153,,
85,極まりない,3.0,通じる,88,国際社会,227,,,緩い,2.0,生じる,73,意味,192,,,狭い,2.0,頑張る,65,集団的自衛権,179,,,甘い,2.0,当てはまる,76,ルール,207,,,遅い,2.0,置く,85,整備,226,,,憎たらしい,1.0,期す,56,大変,153,,
86,幼い,3.0,増える,87,交渉,226,,,恥ずかしい,2.0,盛り込む,71,平和,192,,,怖い,2.0,許す,64,負担,178,,,遠い,2.0,合わせる,76,社会,204,,,忙しい,2.0,頑張る,84,法案,225,,,汚い,1.0,上回る,56,法案,151,,
